[INFO] Creating 12 parallel environments...
[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Parallel Envs: 12
[INFO] Rollout Steps: 512
[INFO] Expected Time: ~30 minutes for 8M steps!
[INFO] VANILLA MODE: No reward shaping!

============================================================
[START] VANILLA TRAINING
============================================================

[EPISODE 335] Step: 71,148 | Reward: 17.47 | Avg-100: -38.85
[EPISODE 336] Step: 71,544 | Reward: -13.15 | Avg-100: -37.00
[EPISODE 337] Step: 71,568 | Reward: 22.48 | Avg-100: -36.72
[EPISODE 338] Step: 71,736 | Reward: 31.68 | Avg-100: -36.32
[EPISODE 339] Step: 71,832 | Reward: -104.24 | Avg-100: -37.16
[EPISODE 340] Step: 71,940 | Reward: -129.56 | Avg-100: -36.23
[EPISODE 341] Step: 72,324 | Reward: -0.73 | Avg-100: -36.52
[EPISODE 342] Step: 72,576 | Reward: -11.65 | Avg-100: -36.54
[EPISODE 343] Step: 72,576 | Reward: -18.15 | Avg-100: -36.38
[EPISODE 344] Step: 72,720 | Reward: 0.95 | Avg-100: -34.26
[EPISODE 345] Step: 73,152 | Reward: -129.82 | Avg-100: -35.29
[EPISODE 346] Step: 73,500 | Reward: 44.40 | Avg-100: -34.64
[BEST MODEL] New record! Avg Reward: -34.64
[EPISODE 347] Step: 74,100 | Reward: 4.46 | Avg-100: -34.59
[EPISODE 348] Step: 74,112 | Reward: -6.39 | Avg-100: -34.39
[EPISODE 349] Step: 74,268 | Reward: 24.35 | Avg-100: -34.31
[EPISODE 350] Step: 74,520 | Reward: -20.54 | Avg-100: -34.74
[EPISODE 351] Step: 74,904 | Reward: 16.45 | Avg-100: -34.39
[EPISODE 352] Step: 74,904 | Reward: -39.35 | Avg-100: -34.46
[EPISODE 353] Step: 75,264 | Reward: -18.49 | Avg-100: -34.27
[EPISODE 354] Step: 75,336 | Reward: -14.67 | Avg-100: -33.81
[EPISODE 355] Step: 75,588 | Reward: -1.15 | Avg-100: -33.48
[EPISODE 356] Step: 76,284 | Reward: 26.03 | Avg-100: -33.00
[EPISODE 357] Step: 76,344 | Reward: -8.98 | Avg-100: -32.40
[EPISODE 358] Step: 76,512 | Reward: -15.94 | Avg-100: -30.26
[EPISODE 359] Step: 76,716 | Reward: -57.50 | Avg-100: -30.90
[EPISODE 360] Step: 76,740 | Reward: -109.27 | Avg-100: -31.94
[EPISODE 361] Step: 77,172 | Reward: 15.73 | Avg-100: -31.87
[EPISODE 362] Step: 77,940 | Reward: -117.03 | Avg-100: -32.77
[EPISODE 363] Step: 77,940 | Reward: 5.43 | Avg-100: -32.49
[EPISODE 364] Step: 78,084 | Reward: 2.51 | Avg-100: -31.46
[EPISODE 365] Step: 78,252 | Reward: -16.67 | Avg-100: -31.69
[EPISODE 366] Step: 78,348 | Reward: -30.62 | Avg-100: -32.21
