[INFO] Creating 16 parallel environments...
[INFO] Using DummyVecEnv (no IPC overhead!)
[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Parallel Envs: 16
[INFO] Rollout Steps: 512
[INFO] Expected Time: ~30-35 minutes for 8M steps!
[INFO] HEIGHT STABILITY PENALTY MODE!
[INFO] Penalty Coefficient: 5.0 (strong anti-hopping!)

============================================================
[START] ANTI-HOPPING TRAINING (Height Stability Penalty!)
============================================================

[EPISODE 210] Step: 42,672 | Reward: -13.81 | Avg-100: -79.29 | Speed: 384886 steps/s
[EPISODE 211] Step: 42,720 | Reward: -321.40 | Avg-100: -82.37 | Speed: 1500989 steps/s
[EPISODE 212] Step: 43,456 | Reward: -19.87 | Avg-100: -82.55 | Speed: 99627 steps/s
[EPISODE 213] Step: 43,728 | Reward: -61.04 | Avg-100: -83.07 | Speed: 263295 steps/s
[EPISODE 214] Step: 43,728 | Reward: -21.49 | Avg-100: -82.35 | Speed: 0 steps/s
[EPISODE 215] Step: 43,728 | Reward: -19.16 | Avg-100: -81.72 | Speed: 0 steps/s
[EPISODE 216] Step: 43,760 | Reward: -19.01 | Avg-100: -81.94 | Speed: 2213855 steps/s
[EPISODE 217] Step: 44,064 | Reward: -46.35 | Avg-100: -81.12 | Speed: 241130 steps/s
[EPISODE 218] Step: 44,384 | Reward: -5.76 | Avg-100: -79.12 | Speed: 222060 steps/s
[EPISODE 219] Step: 44,784 | Reward: -28.59 | Avg-100: -78.63 | Speed: 179992 steps/s
[EPISODE 220] Step: 45,072 | Reward: -44.35 | Avg-100: -74.24 | Speed: 252385 steps/s
[EPISODE 221] Step: 45,088 | Reward: -13.57 | Avg-100: -74.60 | Speed: 5108090 steps/s
[EPISODE 222] Step: 45,456 | Reward: -84.97 | Avg-100: -75.05 | Speed: 196631 steps/s
[EPISODE 223] Step: 45,600 | Reward: -21.17 | Avg-100: -75.33 | Speed: 491363 steps/s
[EPISODE 224] Step: 45,824 | Reward: -167.01 | Avg-100: -73.42 | Speed: 326439 steps/s
[EPISODE 225] Step: 45,904 | Reward: -9.75 | Avg-100: -73.53 | Speed: 863519 steps/s
[EPISODE 226] Step: 46,048 | Reward: -169.91 | Avg-100: -75.16 | Speed: 489742 steps/s
[EPISODE 227] Step: 46,384 | Reward: -29.22 | Avg-100: -75.11 | Speed: 208417 steps/s
[EPISODE 228] Step: 46,592 | Reward: -11.03 | Avg-100: -74.96 | Speed: 349618 steps/s
[EPISODE 229] Step: 46,688 | Reward: -27.29 | Avg-100: -75.06 | Speed: 754576 steps/s
[EPISODE 230] Step: 47,040 | Reward: -2.85 | Avg-100: -74.86 | Speed: 208631 steps/s
[EPISODE 231] Step: 47,072 | Reward: -69.59 | Avg-100: -71.83 | Speed: 2179754 steps/s
[EPISODE 232] Step: 47,104 | Reward: 19.84 | Avg-100: -71.60 | Speed: 2249572 steps/s
[EPISODE 233] Step: 47,104 | Reward: 28.06 | Avg-100: -70.95 | Speed: 49843185 steps/s
[EPISODE 234] Step: 47,280 | Reward: 5.32 | Avg-100: -70.66 | Speed: 416848 steps/s
[EPISODE 235] Step: 47,680 | Reward: -4.29 | Avg-100: -70.46 | Speed: 185244 steps/s
[EPISODE 236] Step: 48,448 | Reward: -59.42 | Avg-100: -70.68 | Speed: 94329 steps/s
[EPISODE 237] Step: 48,480 | Reward: -29.34 | Avg-100: -70.81 | Speed: 2495050 steps/s
[EPISODE 238] Step: 48,944 | Reward: -301.63 | Avg-100: -73.58 | Speed: 151469 steps/s
[EPISODE 239] Step: 49,216 | Reward: 22.87 | Avg-100: -73.02 | Speed: 37230 steps/s
[EPISODE 240] Step: 49,248 | Reward: -11.97 | Avg-100: -73.05 | Speed: 2188066 steps/s
[EPISODE 241] Step: 49,456 | Reward: -15.87 | Avg-100: -73.15 | Speed: 358002 steps/s
[EPISODE 242] Step: 49,760 | Reward: -246.89 | Avg-100: -75.55 | Speed: 206443 steps/s
[EPISODE 243] Step: 49,776 | Reward: -18.60 | Avg-100: -71.62 | Speed: 2739191 steps/s
[EPISODE 244] Step: 49,792 | Reward: -74.46 | Avg-100: -68.12 | Speed: 4209247 steps/s
[EPISODE 245] Step: 49,920 | Reward: 8.65 | Avg-100: -67.45 | Speed: 569072 steps/s
[EPISODE 246] Step: 50,480 | Reward: -42.96 | Avg-100: -67.18 | Speed: 116234 steps/s
[EPISODE 247] Step: 51,472 | Reward: -1.46 | Avg-100: -66.91 | Speed: 56559 steps/s
[EPISODE 248] Step: 51,744 | Reward: 10.95 | Avg-100: -64.91 | Speed: 175452 steps/s
[EPISODE 249] Step: 52,304 | Reward: -40.30 | Avg-100: -64.92 | Speed: 110448 steps/s
[EPISODE 250] Step: 52,784 | Reward: -10.19 | Avg-100: -64.71 | Speed: 127461 steps/s
