[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Max Action Value: 1.0
[INFO] Total Timesteps: 15,000,000

============================================================
[START] TRAINING STARTED
============================================================

[EPISODE 260] Step: 22,265 | Reward: -64.83 | Avg-100: -344.02
[EPISODE 261] Step: 22,288 | Reward: -101.41 | Avg-100: -344.19
[EPISODE 262] Step: 22,338 | Reward: -195.48 | Avg-100: -345.63
[EPISODE 263] Step: 22,349 | Reward: -56.52 | Avg-100: -313.13
[EPISODE 264] Step: 22,378 | Reward: -94.94 | Avg-100: -312.81
[EPISODE 265] Step: 22,394 | Reward: -52.61 | Avg-100: -311.40
[EPISODE 266] Step: 22,430 | Reward: -145.10 | Avg-100: -312.36
[EPISODE 267] Step: 22,440 | Reward: -39.04 | Avg-100: -309.47
[EPISODE 268] Step: 22,493 | Reward: -192.38 | Avg-100: -310.54
[EPISODE 269] Step: 22,568 | Reward: -228.27 | Avg-100: -311.99
[EPISODE 270] Step: 22,579 | Reward: -58.14 | Avg-100: -311.92
[EPISODE 271] Step: 22,611 | Reward: -48.73 | Avg-100: -311.54
[EPISODE 272] Step: 23,611 | Reward: -4367.99 | Avg-100: -352.82
[EPISODE 273] Step: 23,637 | Reward: -134.20 | Avg-100: -353.54
[EPISODE 274] Step: 23,648 | Reward: -65.64 | Avg-100: -349.18
[EPISODE 275] Step: 23,662 | Reward: -54.14 | Avg-100: -347.77
[EPISODE 276] Step: 23,681 | Reward: -66.41 | Avg-100: -346.79
[EPISODE 277] Step: 23,732 | Reward: -284.76 | Avg-100: -348.69
[EPISODE 278] Step: 23,748 | Reward: -61.91 | Avg-100: -347.97
[EPISODE 279] Step: 23,762 | Reward: -78.38 | Avg-100: -346.98
[EPISODE 280] Step: 23,781 | Reward: -54.99 | Avg-100: -346.69
[EPISODE 281] Step: 23,804 | Reward: -63.44 | Avg-100: -344.74
[EPISODE 282] Step: 23,834 | Reward: -107.77 | Avg-100: -344.62
[EPISODE 283] Step: 23,864 | Reward: -129.21 | Avg-100: -345.03
[EPISODE 284] Step: 23,893 | Reward: -106.67 | Avg-100: -345.09
[EPISODE 285] Step: 23,909 | Reward: -58.43 | Avg-100: -312.08
[EPISODE 286] Step: 23,923 | Reward: -39.18 | Avg-100: -311.93
[EPISODE 287] Step: 23,947 | Reward: -104.04 | Avg-100: -310.57
[EPISODE 288] Step: 23,965 | Reward: -94.30 | Avg-100: -310.77
[EPISODE 289] Step: 23,997 | Reward: -141.95 | Avg-100: -310.82
[EPISODE 290] Step: 24,010 | Reward: -47.40 | Avg-100: -308.91
[EPISODE 291] Step: 24,038 | Reward: -96.24 | Avg-100: -274.46
[EPISODE 292] Step: 24,061 | Reward: -114.03 | Avg-100: -274.39
[EPISODE 293] Step: 24,089 | Reward: -135.40 | Avg-100: -274.78
[EPISODE 294] Step: 24,118 | Reward: -84.38 | Avg-100: -275.11
[EPISODE 295] Step: 25,118 | Reward: -4339.42 | Avg-100: -317.86
[EPISODE 296] Step: 25,139 | Reward: -85.13 | Avg-100: -317.49
[EPISODE 297] Step: 25,154 | Reward: -51.57 | Avg-100: -317.08
[EPISODE 298] Step: 25,165 | Reward: -38.62 | Avg-100: -316.33
[EPISODE 299] Step: 25,188 | Reward: -110.17 | Avg-100: -316.52
[EPISODE 300] Step: 25,250 | Reward: -290.54 | Avg-100: -318.74
[EPISODE 301] Step: 25,307 | Reward: -199.50 | Avg-100: -318.47
[EPISODE 302] Step: 25,358 | Reward: -198.48 | Avg-100: -319.89
[EPISODE 303] Step: 25,380 | Reward: -66.44 | Avg-100: -319.86
[EPISODE 304] Step: 25,425 | Reward: -234.02 | Avg-100: -320.20
[EPISODE 305] Step: 25,437 | Reward: -62.42 | Avg-100: -318.49
[EPISODE 306] Step: 25,462 | Reward: -99.80 | Avg-100: -318.91
[EPISODE 307] Step: 25,529 | Reward: -252.33 | Avg-100: -321.03
[EPISODE 308] Step: 25,553 | Reward: -97.55 | Avg-100: -319.16
[EPISODE 309] Step: 25,584 | Reward: -129.08 | Avg-100: -316.67
[EPISODE 310] Step: 25,629 | Reward: -187.52 | Avg-100: -316.40
[EPISODE 311] Step: 25,639 | Reward: -54.74 | Avg-100: -313.12
[EPISODE 312] Step: 25,666 | Reward: -127.14 | Avg-100: -313.82
[EPISODE 313] Step: 25,771 | Reward: -437.93 | Avg-100: -317.36
[EPISODE 314] Step: 25,798 | Reward: -126.81 | Avg-100: -317.85
[EPISODE 315] Step: 25,813 | Reward: -49.87 | Avg-100: -316.32
[EPISODE 316] Step: 25,830 | Reward: -85.04 | Avg-100: -316.27
[EPISODE 317] Step: 25,898 | Reward: -259.44 | Avg-100: -283.71
[EPISODE 318] Step: 25,933 | Reward: -168.25 | Avg-100: -284.49
[EPISODE 319] Step: 25,958 | Reward: -122.50 | Avg-100: -284.87
[EPISODE 320] Step: 26,078 | Reward: -442.12 | Avg-100: -285.92
[EPISODE 321] Step: 26,089 | Reward: -47.76 | Avg-100: -285.16
[EPISODE 322] Step: 26,128 | Reward: -214.35 | Avg-100: -286.32
[EPISODE 323] Step: 27,128 | Reward: -4561.75 | Avg-100: -330.82
[EPISODE 324] Step: 27,180 | Reward: -206.37 | Avg-100: -331.44
[EPISODE 325] Step: 27,198 | Reward: -100.28 | Avg-100: -331.27
[EPISODE 326] Step: 27,257 | Reward: -232.81 | Avg-100: -332.62
[EPISODE 327] Step: 27,274 | Reward: -63.22 | Avg-100: -332.75
[EPISODE 328] Step: 27,294 | Reward: -103.94 | Avg-100: -332.72
[EPISODE 329] Step: 27,335 | Reward: -196.68 | Avg-100: -334.05
[EPISODE 330] Step: 27,352 | Reward: -87.63 | Avg-100: -334.13
[EPISODE 331] Step: 27,395 | Reward: -183.39 | Avg-100: -299.10
[EPISODE 332] Step: 27,430 | Reward: -119.19 | Avg-100: -295.41
[EPISODE 333] Step: 27,442 | Reward: -48.46 | Avg-100: -294.02
[EPISODE 334] Step: 27,457 | Reward: -70.44 | Avg-100: -294.28
[EPISODE 335] Step: 27,477 | Reward: -86.92 | Avg-100: -294.47
[EPISODE 336] Step: 27,525 | Reward: -202.80 | Avg-100: -258.35
[EPISODE 337] Step: 27,557 | Reward: -155.38 | Avg-100: -259.30
[EPISODE 338] Step: 27,581 | Reward: -134.83 | Avg-100: -259.43
[EPISODE 339] Step: 27,599 | Reward: -41.44 | Avg-100: -258.52
[EPISODE 340] Step: 27,616 | Reward: -68.61 | Avg-100: -257.95
[EPISODE 341] Step: 27,692 | Reward: -364.97 | Avg-100: -259.97
[EPISODE 342] Step: 27,711 | Reward: -86.92 | Avg-100: -260.28
[EPISODE 343] Step: 27,723 | Reward: -54.73 | Avg-100: -260.23
[EPISODE 344] Step: 27,776 | Reward: -230.49 | Avg-100: -261.15
[EPISODE 345] Step: 27,786 | Reward: -35.22 | Avg-100: -259.92
[EPISODE 346] Step: 27,835 | Reward: -201.24 | Avg-100: -260.63
[EPISODE 347] Step: 27,872 | Reward: -194.08 | Avg-100: -261.12
[EPISODE 348] Step: 27,892 | Reward: -77.17 | Avg-100: -261.30
[EPISODE 349] Step: 27,913 | Reward: -101.92 | Avg-100: -261.22
