[INFO] Creating 24 parallel environments...
[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Parallel Envs: 24
[INFO] Expected Time: ~30 minutes for 8M steps!

============================================================
[START] FIXED PARALLEL TRAINING
============================================================

[EPISODE 268] Step: 48,672 | Reward: -34.61 | Avg-100: -73.15
[EPISODE 269] Step: 48,672 | Reward: -50.94 | Avg-100: -73.39
[EPISODE 270] Step: 48,720 | Reward: -34.77 | Avg-100: -73.72
[EPISODE 271] Step: 48,840 | Reward: -472.89 | Avg-100: -78.08
[EPISODE 272] Step: 49,032 | Reward: -57.37 | Avg-100: -77.70
[BEST MODEL] New record! Avg Reward: -77.70
[EPISODE 273] Step: 49,248 | Reward: -123.83 | Avg-100: -73.85
[EPISODE 274] Step: 49,440 | Reward: -54.43 | Avg-100: -73.75
[EPISODE 275] Step: 49,560 | Reward: -89.87 | Avg-100: -73.61
[EPISODE 276] Step: 49,728 | Reward: -1.99 | Avg-100: -73.50
[EPISODE 277] Step: 49,800 | Reward: 0.78 | Avg-100: -73.45
[EPISODE 278] Step: 50,328 | Reward: -48.03 | Avg-100: -72.88
[EPISODE 279] Step: 50,448 | Reward: -55.82 | Avg-100: -73.25
[EPISODE 280] Step: 50,544 | Reward: -43.11 | Avg-100: -72.99
[EPISODE 281] Step: 50,880 | Reward: -46.07 | Avg-100: -73.13
[EPISODE 282] Step: 51,336 | Reward: -14.38 | Avg-100: -72.96
[EPISODE 283] Step: 51,528 | Reward: -30.90 | Avg-100: -70.87
[EPISODE 284] Step: 51,552 | Reward: -40.75 | Avg-100: -71.30
[EPISODE 285] Step: 51,840 | Reward: -493.86 | Avg-100: -75.86
[EPISODE 286] Step: 52,104 | Reward: -63.61 | Avg-100: -76.04
[EPISODE 287] Step: 52,416 | Reward: -11.92 | Avg-100: -75.26
[EPISODE 288] Step: 52,512 | Reward: -9.99 | Avg-100: -75.33
[EPISODE 289] Step: 52,608 | Reward: -70.45 | Avg-100: -75.30
[EPISODE 290] Step: 52,752 | Reward: -468.43 | Avg-100: -79.19
[EPISODE 291] Step: 53,304 | Reward: -470.06 | Avg-100: -83.70
[EPISODE 292] Step: 53,520 | Reward: -108.81 | Avg-100: -84.80
[EPISODE 293] Step: 53,592 | Reward: -17.36 | Avg-100: -84.86
[EPISODE 294] Step: 53,688 | Reward: -78.24 | Avg-100: -85.47
[EPISODE 295] Step: 53,880 | Reward: -5.56 | Avg-100: -85.37
[EPISODE 296] Step: 53,904 | Reward: 15.07 | Avg-100: -84.70
[EPISODE 297] Step: 54,360 | Reward: -443.44 | Avg-100: -84.10
[EPISODE 298] Step: 54,360 | Reward: -142.33 | Avg-100: -85.34
[EPISODE 299] Step: 54,576 | Reward: -14.42 | Avg-100: -84.79
[EPISODE 300] Step: 55,032 | Reward: -36.84 | Avg-100: -84.54
[EPISODE 301] Step: 55,056 | Reward: 14.66 | Avg-100: -84.26
[EPISODE 302] Step: 55,488 | Reward: -36.22 | Avg-100: -84.08
[EPISODE 303] Step: 56,568 | Reward: -37.68 | Avg-100: -79.57
[EPISODE 304] Step: 56,712 | Reward: -47.95 | Avg-100: -78.49
[EPISODE 305] Step: 56,760 | Reward: -42.66 | Avg-100: -78.67
[EPISODE 306] Step: 57,192 | Reward: -415.58 | Avg-100: -82.83
[EPISODE 307] Step: 57,312 | Reward: 19.97 | Avg-100: -82.14
[EPISODE 308] Step: 57,648 | Reward: -13.36 | Avg-100: -82.12
[EPISODE 309] Step: 58,224 | Reward: -23.51 | Avg-100: -79.93
[EPISODE 310] Step: 58,464 | Reward: -30.80 | Avg-100: -79.88
[EPISODE 311] Step: 58,728 | Reward: -495.96 | Avg-100: -84.75
[EPISODE 312] Step: 58,848 | Reward: -499.39 | Avg-100: -88.62
[EPISODE 313] Step: 59,064 | Reward: -13.43 | Avg-100: -87.89
[EPISODE 314] Step: 59,136 | Reward: -81.21 | Avg-100: -87.79
[EPISODE 315] Step: 59,472 | Reward: -549.59 | Avg-100: -90.81
[EPISODE 316] Step: 59,568 | Reward: -182.70 | Avg-100: -92.33
[EPISODE 317] Step: 59,568 | Reward: -2.59 | Avg-100: -92.11
[EPISODE 318] Step: 59,976 | Reward: -18.09 | Avg-100: -91.44
[EPISODE 319] Step: 60,504 | Reward: -40.03 | Avg-100: -91.23
[EPISODE 320] Step: 60,720 | Reward: -17.98 | Avg-100: -91.02
[EPISODE 321] Step: 60,912 | Reward: -39.67 | Avg-100: -91.29
[EPISODE 322] Step: 61,560 | Reward: -7.35 | Avg-100: -91.38
[EPISODE 323] Step: 61,560 | Reward: -467.84 | Avg-100: -95.59
[EPISODE 324] Step: 61,920 | Reward: -536.66 | Avg-100: -101.04
[EPISODE 325] Step: 62,160 | Reward: -17.00 | Avg-100: -101.20
[EPISODE 326] Step: 62,352 | Reward: -81.51 | Avg-100: -100.72
[EPISODE 327] Step: 62,736 | Reward: -469.01 | Avg-100: -105.30
[EPISODE 328] Step: 62,784 | Reward: -6.87 | Avg-100: -105.24
[EPISODE 329] Step: 63,048 | Reward: 7.03 | Avg-100: -105.05
[EPISODE 330] Step: 63,120 | Reward: -29.00 | Avg-100: -104.44
[EPISODE 331] Step: 63,288 | Reward: -72.29 | Avg-100: -105.17
[EPISODE 332] Step: 63,936 | Reward: -5.23 | Avg-100: -100.97
[EPISODE 333] Step: 65,256 | Reward: -87.40 | Avg-100: -101.09
[EPISODE 334] Step: 65,304 | Reward: -88.35 | Avg-100: -101.31
[EPISODE 335] Step: 65,664 | Reward: -467.08 | Avg-100: -100.84
[EPISODE 336] Step: 65,880 | Reward: -94.65 | Avg-100: -101.67
[EPISODE 337] Step: 66,168 | Reward: -49.39 | Avg-100: -102.04
[EPISODE 338] Step: 66,792 | Reward: -112.91 | Avg-100: -102.85
[EPISODE 339] Step: 66,840 | Reward: -23.45 | Avg-100: -102.86
[EPISODE 340] Step: 66,912 | Reward: -284.44 | Avg-100: -105.23
[EPISODE 341] Step: 67,488 | Reward: -4.56 | Avg-100: -104.67
[EPISODE 342] Step: 67,824 | Reward: -34.52 | Avg-100: -104.79
[EPISODE 343] Step: 67,824 | Reward: -9.97 | Avg-100: -104.87
[EPISODE 344] Step: 68,544 | Reward: -17.18 | Avg-100: -105.00
[EPISODE 345] Step: 68,712 | Reward: -35.49 | Avg-100: -105.25
[EPISODE 346] Step: 68,784 | Reward: -109.15 | Avg-100: -105.72
[EPISODE 347] Step: 68,952 | Reward: -464.23 | Avg-100: -109.40
[EPISODE 348] Step: 69,120 | Reward: -14.71 | Avg-100: -109.42
[EPISODE 349] Step: 69,384 | Reward: -28.01 | Avg-100: -109.66
[EPISODE 350] Step: 69,840 | Reward: -6.96 | Avg-100: -109.49
[EPISODE 351] Step: 70,176 | Reward: -32.71 | Avg-100: -108.99
[EPISODE 352] Step: 70,584 | Reward: -96.16 | Avg-100: -109.82
[EPISODE 353] Step: 70,776 | Reward: 8.05 | Avg-100: -108.36
[EPISODE 354] Step: 70,896 | Reward: -82.32 | Avg-100: -109.23
[EPISODE 355] Step: 71,112 | Reward: -70.47 | Avg-100: -105.09
[EPISODE 356] Step: 71,376 | Reward: -50.50 | Avg-100: -105.62
[EPISODE 357] Step: 71,592 | Reward: -31.71 | Avg-100: -105.88
[EPISODE 358] Step: 71,880 | Reward: -403.84 | Avg-100: -109.79
[EPISODE 359] Step: 72,600 | Reward: -27.41 | Avg-100: -110.00
[EPISODE 360] Step: 72,936 | Reward: -96.04 | Avg-100: -110.70
[EPISODE 361] Step: 73,008 | Reward: -69.08 | Avg-100: -110.80
[EPISODE 362] Step: 73,128 | Reward: -29.65 | Avg-100: -110.97
[EPISODE 363] Step: 73,368 | Reward: -67.26 | Avg-100: -111.42
[EPISODE 364] Step: 73,560 | Reward: -445.02 | Avg-100: -115.55
[EPISODE 365] Step: 73,872 | Reward: -3.63 | Avg-100: -114.91
[EPISODE 366] Step: 74,184 | Reward: -26.94 | Avg-100: -115.13
[EPISODE 367] Step: 74,328 | Reward: -404.00 | Avg-100: -117.20
[EPISODE 368] Step: 74,328 | Reward: -18.13 | Avg-100: -117.03
[EPISODE 369] Step: 75,192 | Reward: -53.22 | Avg-100: -117.06
[EPISODE 370] Step: 75,264 | Reward: -132.65 | Avg-100: -118.04
[EPISODE 371] Step: 75,528 | Reward: -463.29 | Avg-100: -117.94
[EPISODE 372] Step: 76,104 | Reward: -16.16 | Avg-100: -117.53
[EPISODE 373] Step: 76,128 | Reward: -76.89 | Avg-100: -117.06
[EPISODE 374] Step: 76,224 | Reward: -42.55 | Avg-100: -116.94
[EPISODE 375] Step: 76,512 | Reward: -484.64 | Avg-100: -120.89
[EPISODE 376] Step: 76,752 | Reward: -471.06 | Avg-100: -125.58
[EPISODE 377] Step: 76,824 | Reward: -59.14 | Avg-100: -126.18
[EPISODE 378] Step: 77,064 | Reward: -54.21 | Avg-100: -126.24
[EPISODE 379] Step: 77,280 | Reward: -7.45 | Avg-100: -125.75
[EPISODE 380] Step: 77,304 | Reward: -20.30 | Avg-100: -125.53
[EPISODE 381] Step: 77,352 | Reward: -5.60 | Avg-100: -125.12
[EPISODE 382] Step: 77,520 | Reward: -461.11 | Avg-100: -129.59
[EPISODE 383] Step: 77,664 | Reward: -62.30 | Avg-100: -129.90
[EPISODE 384] Step: 77,856 | Reward: -5.58 | Avg-100: -129.55
[EPISODE 385] Step: 78,024 | Reward: -43.78 | Avg-100: -125.05
[EPISODE 386] Step: 78,048 | Reward: -40.12 | Avg-100: -124.82
[EPISODE 387] Step: 78,168 | Reward: 10.94 | Avg-100: -124.59
[EPISODE 388] Step: 78,240 | Reward: -66.03 | Avg-100: -125.15
[EPISODE 389] Step: 78,288 | Reward: -167.77 | Avg-100: -126.12
[EPISODE 390] Step: 78,576 | Reward: -481.96 | Avg-100: -126.26
[EPISODE 391] Step: 78,912 | Reward: -84.19 | Avg-100: -122.40
[EPISODE 392] Step: 79,056 | Reward: -453.29 | Avg-100: -125.84
[EPISODE 393] Step: 79,392 | Reward: 3.38 | Avg-100: -125.63
[EPISODE 394] Step: 80,016 | Reward: -32.40 | Avg-100: -125.18
[EPISODE 395] Step: 80,352 | Reward: -69.41 | Avg-100: -125.82
[EPISODE 396] Step: 80,568 | Reward: -479.14 | Avg-100: -130.76
[EPISODE 397] Step: 80,688 | Reward: -15.13 | Avg-100: -126.47
[EPISODE 398] Step: 80,712 | Reward: 25.78 | Avg-100: -124.79
[EPISODE 399] Step: 80,712 | Reward: -22.99 | Avg-100: -124.88
[EPISODE 400] Step: 80,808 | Reward: -51.69 | Avg-100: -125.03
[EPISODE 401] Step: 81,120 | Reward: -81.15 | Avg-100: -125.99
[EPISODE 402] Step: 81,192 | Reward: -417.25 | Avg-100: -129.80
[EPISODE 403] Step: 81,288 | Reward: -5.09 | Avg-100: -129.47
[EPISODE 404] Step: 81,504 | Reward: -39.90 | Avg-100: -129.39
[EPISODE 405] Step: 81,576 | Reward: -5.36 | Avg-100: -129.02
[EPISODE 406] Step: 81,600 | Reward: -3.51 | Avg-100: -124.90
[EPISODE 407] Step: 81,672 | Reward: -37.86 | Avg-100: -125.47
[EPISODE 408] Step: 81,888 | Reward: -11.19 | Avg-100: -125.45
[EPISODE 409] Step: 82,128 | Reward: 0.80 | Avg-100: -125.21
[EPISODE 410] Step: 82,248 | Reward: -7.98 | Avg-100: -124.98
[EPISODE 411] Step: 82,920 | Reward: -35.34 | Avg-100: -120.37
[EPISODE 412] Step: 83,016 | Reward: -207.84 | Avg-100: -117.46
[EPISODE 413] Step: 83,064 | Reward: -518.94 | Avg-100: -122.51
[EPISODE 414] Step: 83,400 | Reward: -24.41 | Avg-100: -121.95
[EPISODE 415] Step: 83,472 | Reward: -470.50 | Avg-100: -121.16
[EPISODE 416] Step: 83,496 | Reward: -21.31 | Avg-100: -119.54
[EPISODE 417] Step: 83,568 | Reward: -10.80 | Avg-100: -119.62
[EPISODE 418] Step: 84,024 | Reward: -41.43 | Avg-100: -119.86
[EPISODE 419] Step: 84,120 | Reward: -92.00 | Avg-100: -120.38
[EPISODE 420] Step: 84,312 | Reward: -152.21 | Avg-100: -121.72
[EPISODE 421] Step: 84,456 | Reward: -18.09 | Avg-100: -121.50
[EPISODE 422] Step: 84,480 | Reward: -67.41 | Avg-100: -122.10
[EPISODE 423] Step: 84,624 | Reward: -47.46 | Avg-100: -117.90
