[INFO] Creating 12 parallel environments...
[INFO] Using DummyVecEnv (no IPC overhead!)
[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Parallel Envs: 12
[INFO] Rollout Steps: 512
[INFO] Expected Time: ~30-35 minutes for 8M steps!
[INFO] VANILLA MODE: Ant-v5 base reward only!
[INFO] Anti-hopping: Built-in contact_cost penalty!

============================================================
[START] OPTIMIZED VANILLA TRAINING
============================================================

[EPISODE 228] Step: 50,520 | Reward: -12.88 | Avg-100: -63.72 | Speed: 134398 steps/s
[EPISODE 229] Step: 50,868 | Reward: -86.77 | Avg-100: -64.72 | Speed: 157189 steps/s
[EPISODE 230] Step: 51,024 | Reward: -3.08 | Avg-100: -64.72 | Speed: 350354 steps/s
[EPISODE 231] Step: 51,144 | Reward: 14.31 | Avg-100: -62.42 | Speed: 441700 steps/s
[EPISODE 232] Step: 51,336 | Reward: 11.60 | Avg-100: -58.08 | Speed: 282143 steps/s
[EPISODE 233] Step: 51,372 | Reward: -0.87 | Avg-100: -57.73 | Speed: 1484268 steps/s
[EPISODE 234] Step: 52,152 | Reward: -52.52 | Avg-100: -58.27 | Speed: 71046 steps/s
[EPISODE 235] Step: 52,320 | Reward: -53.83 | Avg-100: -58.56 | Speed: 271121 steps/s
[EPISODE 236] Step: 52,380 | Reward: -253.04 | Avg-100: -60.89 | Speed: 933341 steps/s
[EPISODE 237] Step: 52,788 | Reward: -19.09 | Avg-100: -60.73 | Speed: 136915 steps/s
[EPISODE 238] Step: 53,544 | Reward: -12.06 | Avg-100: -61.08 | Speed: 77745 steps/s
[EPISODE 239] Step: 53,640 | Reward: -28.24 | Avg-100: -61.20 | Speed: 490491 steps/s
[EPISODE 240] Step: 53,652 | Reward: 11.22 | Avg-100: -60.91 | Speed: 5408097 steps/s
[EPISODE 241] Step: 53,664 | Reward: -249.26 | Avg-100: -63.33 | Speed: 3058522 steps/s
[EPISODE 242] Step: 53,712 | Reward: -1.75 | Avg-100: -62.32 | Speed: 1235425 steps/s
[EPISODE 243] Step: 54,276 | Reward: -52.02 | Avg-100: -62.38 | Speed: 96707 steps/s
[EPISODE 244] Step: 54,300 | Reward: -21.80 | Avg-100: -62.65 | Speed: 2559734 steps/s
[EPISODE 245] Step: 54,348 | Reward: -39.20 | Avg-100: -62.99 | Speed: 1297988 steps/s
[EPISODE 246] Step: 54,612 | Reward: -5.34 | Avg-100: -62.78 | Speed: 220334 steps/s
[EPISODE 247] Step: 54,612 | Reward: -20.68 | Avg-100: -59.87 | Speed: 0 steps/s
[EPISODE 248] Step: 54,648 | Reward: 3.54 | Avg-100: -58.76 | Speed: 1391519 steps/s
[EPISODE 249] Step: 54,828 | Reward: -6.25 | Avg-100: -58.72 | Speed: 305774 steps/s
[EPISODE 250] Step: 54,972 | Reward: 7.16 | Avg-100: -55.11 | Speed: 315590 steps/s
[BEST MODEL] New record! Avg Reward: -55.11
[EPISODE 251] Step: 55,452 | Reward: 0.89 | Avg-100: -54.91 | Speed: 27362 steps/s
[EPISODE 252] Step: 55,572 | Reward: 11.42 | Avg-100: -51.36 | Speed: 624975 steps/s
[EPISODE 253] Step: 55,776 | Reward: -2.38 | Avg-100: -50.78 | Speed: 365545 steps/s
[EPISODE 254] Step: 56,340 | Reward: -104.46 | Avg-100: -51.15 | Speed: 133522 steps/s
[EPISODE 255] Step: 56,436 | Reward: -65.75 | Avg-100: -51.39 | Speed: 781452 steps/s
[EPISODE 256] Step: 56,568 | Reward: 16.83 | Avg-100: -50.92 | Speed: 516020 steps/s
[EPISODE 257] Step: 56,652 | Reward: 18.02 | Avg-100: -50.87 | Speed: 877299 steps/s
[EPISODE 258] Step: 56,676 | Reward: 19.36 | Avg-100: -50.69 | Speed: 3410669 steps/s
[EPISODE 259] Step: 57,156 | Reward: 1.64 | Avg-100: -49.14 | Speed: 148664 steps/s
[EPISODE 260] Step: 57,492 | Reward: -20.67 | Avg-100: -49.16 | Speed: 210680 steps/s
[EPISODE 261] Step: 57,528 | Reward: 8.81 | Avg-100: -48.89 | Speed: 1802095 steps/s
[EPISODE 262] Step: 57,612 | Reward: -270.03 | Avg-100: -51.47 | Speed: 829867 steps/s
[EPISODE 263] Step: 57,708 | Reward: -265.17 | Avg-100: -51.53 | Speed: 735561 steps/s
[EPISODE 264] Step: 57,852 | Reward: 25.57 | Avg-100: -48.35 | Speed: 462913 steps/s
[EPISODE 265] Step: 57,864 | Reward: 63.30 | Avg-100: -47.57 | Speed: 6228733 steps/s
[EPISODE 266] Step: 58,044 | Reward: -10.40 | Avg-100: -46.91 | Speed: 382471 steps/s
[EPISODE 267] Step: 58,104 | Reward: 17.47 | Avg-100: -44.26 | Speed: 1234116 steps/s
[EPISODE 268] Step: 58,404 | Reward: -10.70 | Avg-100: -44.20 | Speed: 214425 steps/s
[EPISODE 269] Step: 58,452 | Reward: -228.09 | Avg-100: -45.55 | Speed: 1556218 steps/s
[EPISODE 270] Step: 58,452 | Reward: -0.89 | Avg-100: -45.63 | Speed: 0 steps/s
[EPISODE 271] Step: 59,160 | Reward: 44.08 | Avg-100: -45.21 | Speed: 101372 steps/s
[EPISODE 272] Step: 59,316 | Reward: -23.69 | Avg-100: -45.30 | Speed: 480574 steps/s
[EPISODE 273] Step: 59,460 | Reward: -171.46 | Avg-100: -47.12 | Speed: 480633 steps/s
[EPISODE 274] Step: 59,568 | Reward: -15.41 | Avg-100: -46.63 | Speed: 694824 steps/s
[EPISODE 275] Step: 59,580 | Reward: -3.55 | Avg-100: -46.21 | Speed: 5573382 steps/s
[EPISODE 276] Step: 59,760 | Reward: 18.25 | Avg-100: -46.30 | Speed: 349628 steps/s
[EPISODE 277] Step: 60,408 | Reward: -5.35 | Avg-100: -46.16 | Speed: 108519 steps/s
[EPISODE 278] Step: 60,816 | Reward: -19.37 | Avg-100: -46.06 | Speed: 167033 steps/s
[EPISODE 279] Step: 60,936 | Reward: -2.61 | Avg-100: -45.92 | Speed: 639933 steps/s
[EPISODE 280] Step: 61,092 | Reward: 1.18 | Avg-100: -44.85 | Speed: 446590 steps/s
[EPISODE 281] Step: 61,176 | Reward: -190.99 | Avg-100: -46.87 | Speed: 864251 steps/s
[EPISODE 282] Step: 61,188 | Reward: -21.87 | Avg-100: -47.04 | Speed: 6317579 steps/s
[EPISODE 283] Step: 61,200 | Reward: -33.89 | Avg-100: -47.03 | Speed: 6116732 steps/s
[EPISODE 284] Step: 61,380 | Reward: -62.91 | Avg-100: -47.31 | Speed: 367884 steps/s
[EPISODE 285] Step: 61,416 | Reward: -4.61 | Avg-100: -47.34 | Speed: 2089130 steps/s
[BEST MODEL] New record! Avg Reward: -47.34
[EPISODE 286] Step: 61,464 | Reward: -16.61 | Avg-100: -47.64 | Speed: 53523 steps/s
[EPISODE 287] Step: 61,680 | Reward: 2.19 | Avg-100: -47.11 | Speed: 362938 steps/s
[EPISODE 288] Step: 61,680 | Reward: -7.99 | Avg-100: -46.45 | Speed: 0 steps/s
[EPISODE 289] Step: 61,848 | Reward: -1.10 | Avg-100: -46.49 | Speed: 441110 steps/s
[EPISODE 290] Step: 61,896 | Reward: -18.62 | Avg-100: -46.55 | Speed: 1553038 steps/s
[EPISODE 291] Step: 62,160 | Reward: -10.09 | Avg-100: -46.32 | Speed: 269846 steps/s
[EPISODE 292] Step: 62,172 | Reward: 5.19 | Avg-100: -43.48 | Speed: 6203307 steps/s
[EPISODE 293] Step: 62,244 | Reward: 6.24 | Avg-100: -43.31 | Speed: 842524 steps/s
[EPISODE 294] Step: 62,316 | Reward: -26.53 | Avg-100: -43.57 | Speed: 657929 steps/s
[EPISODE 295] Step: 62,364 | Reward: -1.10 | Avg-100: -43.53 | Speed: 1090767 steps/s
[EPISODE 296] Step: 62,496 | Reward: -42.29 | Avg-100: -43.57 | Speed: 415589 steps/s
[EPISODE 297] Step: 62,556 | Reward: 6.43 | Avg-100: -43.00 | Speed: 718524 steps/s
[EPISODE 298] Step: 63,888 | Reward: 57.61 | Avg-100: -42.20 | Speed: 40147 steps/s
