[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Max Action Value: 1.0
[INFO] Total Timesteps: 12,000,000

============================================================
🎬 EĞİTİM BAŞLIYOR
============================================================

🎮 Episode 167 | Step: 16,982 | Reward: -104.85 | Avg-100: -334.39
🎮 Episode 168 | Step: 17,061 | Reward: -309.86 | Avg-100: -335.72
🎮 Episode 169 | Step: 17,085 | Reward: -74.89 | Avg-100: -333.84
🎮 Episode 170 | Step: 17,113 | Reward: -80.62 | Avg-100: -333.34
🎮 Episode 171 | Step: 17,142 | Reward: -98.97 | Avg-100: -303.38
🎮 Episode 172 | Step: 17,183 | Reward: -147.44 | Avg-100: -303.96
🎮 Episode 173 | Step: 17,231 | Reward: -191.40 | Avg-100: -304.88
🎮 Episode 174 | Step: 17,245 | Reward: -41.18 | Avg-100: -304.33
🎮 Episode 175 | Step: 17,260 | Reward: -48.63 | Avg-100: -304.14
🎮 Episode 176 | Step: 17,277 | Reward: -61.76 | Avg-100: -304.26
🎮 Episode 177 | Step: 17,357 | Reward: -265.65 | Avg-100: -305.22
🎮 Episode 178 | Step: 17,378 | Reward: -94.55 | Avg-100: -304.65
🎮 Episode 179 | Step: 17,410 | Reward: -93.78 | Avg-100: -305.31
🎮 Episode 180 | Step: 17,463 | Reward: -198.29 | Avg-100: -304.49
🎮 Episode 181 | Step: 17,479 | Reward: -53.14 | Avg-100: -304.24
🎮 Episode 182 | Step: 17,502 | Reward: -91.55 | Avg-100: -301.24
🎮 Episode 183 | Step: 17,525 | Reward: -102.13 | Avg-100: -300.51
🎮 Episode 184 | Step: 17,534 | Reward: -38.79 | Avg-100: -300.36
🎮 Episode 185 | Step: 17,605 | Reward: -249.90 | Avg-100: -302.61
🎮 Episode 186 | Step: 17,641 | Reward: -145.59 | Avg-100: -303.68
🎮 Episode 187 | Step: 17,671 | Reward: -86.97 | Avg-100: -301.13
🎮 Episode 188 | Step: 17,732 | Reward: -262.97 | Avg-100: -302.39
🎮 Episode 189 | Step: 17,769 | Reward: -138.81 | Avg-100: -303.07
🎮 Episode 190 | Step: 17,784 | Reward: -62.89 | Avg-100: -302.70
🎮 Episode 191 | Step: 17,813 | Reward: -88.00 | Avg-100: -303.23
🎮 Episode 192 | Step: 17,845 | Reward: -125.65 | Avg-100: -304.06
🎮 Episode 193 | Step: 17,929 | Reward: -331.05 | Avg-100: -307.03
🎮 Episode 194 | Step: 18,018 | Reward: -280.37 | Avg-100: -308.35
🎮 Episode 195 | Step: 18,063 | Reward: -183.18 | Avg-100: -309.00
🎮 Episode 196 | Step: 18,130 | Reward: -212.50 | Avg-100: -310.07
🎮 Episode 197 | Step: 19,130 | Reward: -3771.46 | Avg-100: -347.36
🎮 Episode 198 | Step: 19,141 | Reward: -43.88 | Avg-100: -317.99
🎮 Episode 199 | Step: 20,141 | Reward: -3985.67 | Avg-100: -357.45
🎮 Episode 200 | Step: 20,158 | Reward: -70.17 | Avg-100: -357.52
🎮 Episode 201 | Step: 20,178 | Reward: -51.68 | Avg-100: -356.79
🎮 Episode 202 | Step: 20,191 | Reward: -30.00 | Avg-100: -356.17
🎮 Episode 203 | Step: 20,205 | Reward: -37.35 | Avg-100: -354.42
🎮 Episode 204 | Step: 20,231 | Reward: -74.26 | Avg-100: -354.01
🎮 Episode 205 | Step: 20,244 | Reward: -41.36 | Avg-100: -353.69
🎮 Episode 206 | Step: 20,295 | Reward: -208.73 | Avg-100: -355.08
🎮 Episode 207 | Step: 20,358 | Reward: -222.45 | Avg-100: -355.68
🎮 Episode 208 | Step: 20,386 | Reward: -128.35 | Avg-100: -355.89
🎮 Episode 209 | Step: 20,415 | Reward: -153.78 | Avg-100: -327.62
🎮 Episode 210 | Step: 20,427 | Reward: -47.87 | Avg-100: -326.93
🎮 Episode 211 | Step: 20,437 | Reward: -27.97 | Avg-100: -326.00
🎮 Episode 212 | Step: 20,457 | Reward: -57.84 | Avg-100: -325.40
🎮 Episode 213 | Step: 20,494 | Reward: -171.91 | Avg-100: -325.72
🎮 Episode 214 | Step: 20,515 | Reward: -96.64 | Avg-100: -325.88
🎮 Episode 215 | Step: 20,534 | Reward: -69.47 | Avg-100: -323.97
🎮 Episode 216 | Step: 20,567 | Reward: -135.07 | Avg-100: -321.47
🎮 Episode 217 | Step: 20,588 | Reward: -96.92 | Avg-100: -319.80
🎮 Episode 218 | Step: 20,607 | Reward: -67.62 | Avg-100: -319.42
🎮 Episode 219 | Step: 20,625 | Reward: -91.66 | Avg-100: -319.24
🎮 Episode 220 | Step: 20,637 | Reward: -42.89 | Avg-100: -318.36
🎮 Episode 221 | Step: 20,672 | Reward: -100.79 | Avg-100: -318.51
🎮 Episode 222 | Step: 20,684 | Reward: -47.51 | Avg-100: -318.26
🎮 Episode 223 | Step: 20,698 | Reward: -73.87 | Avg-100: -288.25
🎮 Episode 224 | Step: 20,727 | Reward: -82.79 | Avg-100: -288.55
🎮 Episode 225 | Step: 20,743 | Reward: -54.72 | Avg-100: -288.33
🎮 Episode 226 | Step: 20,754 | Reward: -46.63 | Avg-100: -286.76
🎮 Episode 227 | Step: 20,778 | Reward: -92.16 | Avg-100: -287.28
🎮 Episode 228 | Step: 20,807 | Reward: -90.06 | Avg-100: -287.45
🎮 Episode 229 | Step: 20,833 | Reward: -115.84 | Avg-100: -285.07
🎮 Episode 230 | Step: 20,975 | Reward: -565.88 | Avg-100: -289.26
🎮 Episode 231 | Step: 21,009 | Reward: -131.89 | Avg-100: -288.98
🎮 Episode 232 | Step: 21,051 | Reward: -161.65 | Avg-100: -290.05
🎮 Episode 233 | Step: 21,178 | Reward: -465.46 | Avg-100: -294.10
🎮 Episode 234 | Step: 21,232 | Reward: -152.76 | Avg-100: -293.66
🎮 Episode 235 | Step: 21,328 | Reward: -368.70 | Avg-100: -296.88
🎮 Episode 236 | Step: 21,359 | Reward: -131.38 | Avg-100: -264.62
🎮 Episode 237 | Step: 21,401 | Reward: -121.62 | Avg-100: -264.24
🎮 Episode 238 | Step: 21,413 | Reward: -36.46 | Avg-100: -263.34
🎮 Episode 239 | Step: 21,489 | Reward: -364.26 | Avg-100: -266.42
🎮 Episode 240 | Step: 21,500 | Reward: -43.45 | Avg-100: -266.20
🎮 Episode 241 | Step: 21,523 | Reward: -102.71 | Avg-100: -266.42
🎮 Episode 242 | Step: 21,590 | Reward: -158.43 | Avg-100: -234.08
🎮 Episode 243 | Step: 21,603 | Reward: -57.09 | Avg-100: -232.13
🎮 Episode 244 | Step: 21,632 | Reward: -108.56 | Avg-100: -199.16
🎮 Episode 245 | Step: 21,674 | Reward: -172.66 | Avg-100: -200.17
🎮 Episode 246 | Step: 21,729 | Reward: -234.98 | Avg-100: -201.95
🎮 Episode 247 | Step: 21,755 | Reward: -85.17 | Avg-100: -200.93
🎮 Episode 248 | Step: 21,784 | Reward: -89.54 | Avg-100: -200.92
🎮 Episode 249 | Step: 21,799 | Reward: -77.26 | Avg-100: -201.04
🎮 Episode 250 | Step: 21,811 | Reward: -39.03 | Avg-100: -200.63
🎮 Episode 251 | Step: 21,836 | Reward: -100.98 | Avg-100: -200.80
🎮 Episode 252 | Step: 21,853 | Reward: -65.89 | Avg-100: -198.47
🎮 Episode 253 | Step: 21,866 | Reward: -55.09 | Avg-100: -197.33
🎮 Episode 254 | Step: 21,892 | Reward: -109.07 | Avg-100: -197.18
🎮 Episode 255 | Step: 21,936 | Reward: -164.04 | Avg-100: -198.53
🎮 Episode 256 | Step: 21,980 | Reward: -159.53 | Avg-100: -199.46
🎮 Episode 257 | Step: 21,993 | Reward: -61.50 | Avg-100: -199.66
🎮 Episode 258 | Step: 22,004 | Reward: -46.28 | Avg-100: -198.98
🎮 Episode 259 | Step: 22,021 | Reward: -43.05 | Avg-100: -198.57
🏆 YENİ REKOR! Avg Reward: -198.57
🎮 Episode 260 | Step: 23,021 | Reward: -4010.16 | Avg-100: -236.60
🎮 Episode 261 | Step: 23,042 | Reward: -82.14 | Avg-100: -236.11
🎮 Episode 262 | Step: 23,087 | Reward: -173.42 | Avg-100: -236.94
🎮 Episode 263 | Step: 23,103 | Reward: -73.42 | Avg-100: -236.64
🎮 Episode 264 | Step: 23,120 | Reward: -72.98 | Avg-100: -236.61
🎮 Episode 265 | Step: 23,155 | Reward: -144.82 | Avg-100: -237.54
