[INFO] Creating 24 parallel environments...
[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Parallel Envs: 24
[INFO] Expected Time: ~30 minutes for 8M steps!

============================================================
[START] FIXED PARALLEL TRAINING
============================================================

[EPISODE 258] Step: 49,056 | Reward: -20.41 | Avg-100: -84.40
[BEST MODEL] New record! Avg Reward: -84.40
[EPISODE 259] Step: 49,440 | Reward: -60.89 | Avg-100: -84.91
[EPISODE 260] Step: 49,656 | Reward: -32.04 | Avg-100: -85.20
[EPISODE 261] Step: 49,656 | Reward: -32.85 | Avg-100: -85.36
[EPISODE 262] Step: 49,752 | Reward: -67.60 | Avg-100: -85.85
[EPISODE 263] Step: 49,776 | Reward: -68.93 | Avg-100: -86.02
[EPISODE 264] Step: 50,160 | Reward: 1.00 | Avg-100: -81.06
[EPISODE 265] Step: 50,208 | Reward: -14.68 | Avg-100: -76.98
[EPISODE 266] Step: 50,520 | Reward: -79.86 | Avg-100: -77.59
[EPISODE 267] Step: 50,640 | Reward: -35.56 | Avg-100: -76.53
[EPISODE 268] Step: 50,856 | Reward: -10.40 | Avg-100: -75.78
[EPISODE 269] Step: 50,904 | Reward: -31.34 | Avg-100: -74.61
[EPISODE 270] Step: 50,952 | Reward: -31.11 | Avg-100: -74.74
[EPISODE 271] Step: 51,048 | Reward: 0.68 | Avg-100: -74.84
[EPISODE 272] Step: 51,384 | Reward: -430.93 | Avg-100: -78.86
[EPISODE 273] Step: 51,648 | Reward: -52.34 | Avg-100: -78.21
[EPISODE 274] Step: 52,128 | Reward: -30.57 | Avg-100: -78.52
[EPISODE 275] Step: 52,392 | Reward: -46.63 | Avg-100: -77.46
[EPISODE 276] Step: 52,560 | Reward: -508.37 | Avg-100: -82.36
[EPISODE 277] Step: 52,896 | Reward: -113.62 | Avg-100: -82.66
[EPISODE 278] Step: 53,040 | Reward: -15.02 | Avg-100: -82.56
[EPISODE 279] Step: 53,232 | Reward: -18.12 | Avg-100: -82.63
[EPISODE 280] Step: 53,376 | Reward: -38.46 | Avg-100: -82.46
[EPISODE 281] Step: 53,400 | Reward: -13.12 | Avg-100: -82.41
[EPISODE 282] Step: 53,568 | Reward: -52.79 | Avg-100: -82.84
[EPISODE 283] Step: 53,640 | Reward: -121.16 | Avg-100: -83.74
[EPISODE 284] Step: 53,664 | Reward: -536.08 | Avg-100: -89.01
[EPISODE 285] Step: 54,144 | Reward: -11.57 | Avg-100: -88.49
[EPISODE 286] Step: 54,240 | Reward: -1.11 | Avg-100: -87.28
[EPISODE 287] Step: 54,552 | Reward: -37.55 | Avg-100: -87.09
[EPISODE 288] Step: 54,624 | Reward: -15.43 | Avg-100: -86.68
[EPISODE 289] Step: 54,936 | Reward: -34.84 | Avg-100: -86.80
[EPISODE 290] Step: 54,960 | Reward: -11.37 | Avg-100: -85.91
[EPISODE 291] Step: 54,984 | Reward: -63.26 | Avg-100: -86.57
[EPISODE 292] Step: 55,344 | Reward: -12.33 | Avg-100: -85.93
[EPISODE 293] Step: 55,368 | Reward: 5.04 | Avg-100: -85.12
[EPISODE 294] Step: 55,392 | Reward: -110.42 | Avg-100: -80.92
[EPISODE 295] Step: 55,848 | Reward: -16.12 | Avg-100: -80.99
[EPISODE 296] Step: 56,088 | Reward: -11.76 | Avg-100: -80.63
[EPISODE 297] Step: 56,256 | Reward: -138.39 | Avg-100: -77.35
[EPISODE 298] Step: 56,424 | Reward: -15.21 | Avg-100: -76.89
[EPISODE 299] Step: 56,472 | Reward: -453.87 | Avg-100: -80.78
[EPISODE 300] Step: 56,592 | Reward: -14.32 | Avg-100: -80.29
[EPISODE 301] Step: 56,760 | Reward: -47.00 | Avg-100: -75.89
[EPISODE 302] Step: 57,144 | Reward: -35.98 | Avg-100: -75.69
[EPISODE 303] Step: 57,672 | Reward: -2.30 | Avg-100: -75.74
[EPISODE 304] Step: 58,080 | Reward: -136.66 | Avg-100: -77.11
[EPISODE 305] Step: 58,104 | Reward: -36.12 | Avg-100: -76.92
[EPISODE 306] Step: 58,128 | Reward: -19.44 | Avg-100: -72.42
[EPISODE 307] Step: 58,176 | Reward: -14.14 | Avg-100: -71.99
[EPISODE 308] Step: 58,224 | Reward: -30.06 | Avg-100: -71.26
[EPISODE 309] Step: 58,440 | Reward: -13.36 | Avg-100: -71.57
[EPISODE 310] Step: 58,512 | Reward: -4.66 | Avg-100: -71.46
[EPISODE 311] Step: 58,896 | Reward: -96.21 | Avg-100: -72.15
[EPISODE 312] Step: 59,040 | Reward: 26.60 | Avg-100: -71.13
[EPISODE 313] Step: 59,304 | Reward: -76.10 | Avg-100: -71.50
[EPISODE 314] Step: 59,616 | Reward: -75.93 | Avg-100: -70.79
[EPISODE 315] Step: 59,664 | Reward: -462.56 | Avg-100: -74.99
[EPISODE 316] Step: 59,784 | Reward: 29.04 | Avg-100: -74.25
[EPISODE 317] Step: 60,024 | Reward: -25.93 | Avg-100: -74.18
[EPISODE 318] Step: 60,072 | Reward: -615.66 | Avg-100: -79.94
[EPISODE 319] Step: 60,288 | Reward: -42.88 | Avg-100: -80.08
[EPISODE 320] Step: 60,336 | Reward: -499.03 | Avg-100: -84.37
[EPISODE 321] Step: 60,456 | Reward: -46.18 | Avg-100: -82.99
[EPISODE 322] Step: 60,744 | Reward: -74.55 | Avg-100: -83.54
[EPISODE 323] Step: 61,080 | Reward: -5.54 | Avg-100: -83.34
[EPISODE 324] Step: 61,752 | Reward: -25.80 | Avg-100: -83.52
[EPISODE 325] Step: 61,920 | Reward: -569.60 | Avg-100: -88.97
[EPISODE 326] Step: 61,944 | Reward: -412.79 | Avg-100: -93.02
[EPISODE 327] Step: 62,544 | Reward: -102.00 | Avg-100: -93.23
[EPISODE 328] Step: 62,784 | Reward: -143.95 | Avg-100: -94.66
[EPISODE 329] Step: 63,072 | Reward: -84.48 | Avg-100: -95.35
[EPISODE 330] Step: 63,240 | Reward: -107.53 | Avg-100: -96.33
[EPISODE 331] Step: 63,288 | Reward: -31.75 | Avg-100: -96.56
[EPISODE 332] Step: 63,336 | Reward: -92.21 | Avg-100: -97.29
[EPISODE 333] Step: 63,432 | Reward: -48.11 | Avg-100: -97.48
[EPISODE 334] Step: 63,720 | Reward: -16.88 | Avg-100: -93.04
[EPISODE 335] Step: 63,912 | Reward: 6.29 | Avg-100: -88.31
[EPISODE 336] Step: 64,080 | Reward: -479.89 | Avg-100: -91.90
[EPISODE 337] Step: 64,128 | Reward: -486.71 | Avg-100: -96.03
[EPISODE 338] Step: 64,176 | Reward: -24.08 | Avg-100: -95.24
[EPISODE 339] Step: 64,392 | Reward: -93.94 | Avg-100: -94.75
[EPISODE 340] Step: 64,416 | Reward: 41.72 | Avg-100: -94.38
[EPISODE 341] Step: 64,608 | Reward: -57.49 | Avg-100: -94.11
[EPISODE 342] Step: 64,896 | Reward: -25.44 | Avg-100: -94.36
[EPISODE 343] Step: 64,968 | Reward: -81.95 | Avg-100: -94.52
[EPISODE 344] Step: 65,064 | Reward: -22.14 | Avg-100: -94.42
[EPISODE 345] Step: 65,160 | Reward: -10.59 | Avg-100: -94.42
[EPISODE 346] Step: 65,520 | Reward: -75.42 | Avg-100: -93.51
[EPISODE 347] Step: 65,712 | Reward: -17.63 | Avg-100: -93.09
[EPISODE 348] Step: 65,952 | Reward: -49.49 | Avg-100: -93.25
[EPISODE 349] Step: 66,024 | Reward: -104.42 | Avg-100: -93.11
[EPISODE 350] Step: 66,120 | Reward: -49.84 | Avg-100: -91.63
[EPISODE 351] Step: 66,720 | Reward: -1.80 | Avg-100: -91.05
[EPISODE 352] Step: 66,816 | Reward: -53.96 | Avg-100: -91.38
[EPISODE 353] Step: 66,888 | Reward: 1.46 | Avg-100: -90.91
[EPISODE 354] Step: 66,912 | Reward: -29.35 | Avg-100: -90.28
[EPISODE 355] Step: 66,912 | Reward: -2.40 | Avg-100: -89.97
[EPISODE 356] Step: 66,936 | Reward: -149.13 | Avg-100: -91.40
[EPISODE 357] Step: 67,248 | Reward: -27.75 | Avg-100: -91.37
[EPISODE 358] Step: 67,272 | Reward: -3.04 | Avg-100: -91.20
[EPISODE 359] Step: 67,296 | Reward: -7.82 | Avg-100: -90.67
[EPISODE 360] Step: 67,344 | Reward: -4.02 | Avg-100: -90.39
[EPISODE 361] Step: 67,464 | Reward: -53.99 | Avg-100: -90.60
[EPISODE 362] Step: 67,776 | Reward: -10.06 | Avg-100: -90.03
[EPISODE 363] Step: 67,944 | Reward: -285.47 | Avg-100: -92.19
[EPISODE 364] Step: 67,968 | Reward: -15.87 | Avg-100: -92.36
[EPISODE 365] Step: 67,992 | Reward: -15.89 | Avg-100: -92.37
[EPISODE 366] Step: 68,040 | Reward: -215.61 | Avg-100: -93.73
[EPISODE 367] Step: 68,376 | Reward: -37.62 | Avg-100: -93.75
[EPISODE 368] Step: 68,400 | Reward: -482.13 | Avg-100: -98.47
[EPISODE 369] Step: 68,448 | Reward: 1.09 | Avg-100: -98.14
[EPISODE 370] Step: 68,520 | Reward: -6.49 | Avg-100: -97.90
[EPISODE 371] Step: 68,736 | Reward: -24.88 | Avg-100: -98.15
[EPISODE 372] Step: 68,976 | Reward: 1.96 | Avg-100: -93.82
[EPISODE 373] Step: 68,976 | Reward: -88.65 | Avg-100: -94.19
[EPISODE 374] Step: 69,312 | Reward: -29.77 | Avg-100: -94.18
[EPISODE 375] Step: 69,312 | Reward: -32.54 | Avg-100: -94.04
[EPISODE 376] Step: 69,312 | Reward: -34.14 | Avg-100: -89.30
[EPISODE 377] Step: 69,408 | Reward: -97.15 | Avg-100: -89.13
[EPISODE 378] Step: 69,768 | Reward: -10.59 | Avg-100: -89.09
[EPISODE 379] Step: 69,816 | Reward: -31.55 | Avg-100: -89.22
[EPISODE 380] Step: 70,056 | Reward: -256.32 | Avg-100: -91.40
[EPISODE 381] Step: 70,128 | Reward: -431.20 | Avg-100: -95.58
[EPISODE 382] Step: 70,152 | Reward: -5.21 | Avg-100: -95.10
[EPISODE 383] Step: 70,296 | Reward: -41.92 | Avg-100: -94.31
[EPISODE 384] Step: 70,584 | Reward: -45.22 | Avg-100: -89.40
[EPISODE 385] Step: 70,680 | Reward: -13.75 | Avg-100: -89.43
[EPISODE 386] Step: 71,088 | Reward: -19.57 | Avg-100: -89.61
[EPISODE 387] Step: 71,280 | Reward: -104.79 | Avg-100: -90.28
[EPISODE 388] Step: 71,352 | Reward: -85.73 | Avg-100: -90.99
[EPISODE 389] Step: 71,568 | Reward: -60.32 | Avg-100: -91.24
[EPISODE 390] Step: 71,976 | Reward: 4.03 | Avg-100: -91.09
[EPISODE 391] Step: 72,048 | Reward: 16.49 | Avg-100: -90.29
[EPISODE 392] Step: 72,072 | Reward: -98.87 | Avg-100: -91.15
[EPISODE 393] Step: 72,240 | Reward: -1.28 | Avg-100: -91.22
[EPISODE 394] Step: 72,240 | Reward: 5.13 | Avg-100: -90.06
[EPISODE 395] Step: 72,360 | Reward: -32.56 | Avg-100: -90.23
