[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Max Action Value: 1.0
[INFO] Total Timesteps: 15,000,000
[WARNING] BALANCED MODE - Forward velocity dominant!

============================================================
[START] BALANCED TRAINING STARTED
============================================================

[EPISODE 181] Step: 15,735 | Reward: -126.81 | Avg-100: -227.88
[EPISODE 182] Step: 15,754 | Reward: -65.15 | Avg-100: -228.08
[EPISODE 183] Step: 15,786 | Reward: -126.56 | Avg-100: -227.88
[EPISODE 184] Step: 15,819 | Reward: -112.60 | Avg-100: -228.61
[EPISODE 185] Step: 15,920 | Reward: -327.57 | Avg-100: -231.51
[EPISODE 186] Step: 15,938 | Reward: -46.54 | Avg-100: -229.29
[EPISODE 187] Step: 15,960 | Reward: -86.06 | Avg-100: -229.65
[EPISODE 188] Step: 15,996 | Reward: -123.12 | Avg-100: -226.53
[EPISODE 189] Step: 16,028 | Reward: -124.54 | Avg-100: -227.41
[EPISODE 190] Step: 16,065 | Reward: -104.43 | Avg-100: -227.49
[EPISODE 191] Step: 16,091 | Reward: -77.43 | Avg-100: -226.64
[EPISODE 192] Step: 16,124 | Reward: -145.19 | Avg-100: -226.86
[EPISODE 193] Step: 16,147 | Reward: -75.94 | Avg-100: -227.08
[EPISODE 194] Step: 16,159 | Reward: -30.96 | Avg-100: -226.03
[EPISODE 195] Step: 16,236 | Reward: -282.46 | Avg-100: -226.58
[EPISODE 196] Step: 17,236 | Reward: -3651.66 | Avg-100: -262.04
[EPISODE 197] Step: 17,266 | Reward: -121.37 | Avg-100: -262.78
[EPISODE 198] Step: 17,919 | Reward: -2322.18 | Avg-100: -284.16
[EPISODE 199] Step: 17,930 | Reward: -36.66 | Avg-100: -283.41
[EPISODE 200] Step: 18,930 | Reward: -3738.47 | Avg-100: -319.97
[EPISODE 201] Step: 18,965 | Reward: -158.84 | Avg-100: -320.81
[EPISODE 202] Step: 18,987 | Reward: -106.34 | Avg-100: -321.31
[EPISODE 203] Step: 19,045 | Reward: -239.20 | Avg-100: -320.98
[EPISODE 204] Step: 19,064 | Reward: -55.29 | Avg-100: -320.79
[EPISODE 205] Step: 19,109 | Reward: -143.23 | Avg-100: -321.80
[EPISODE 206] Step: 19,149 | Reward: -110.20 | Avg-100: -290.24
[EPISODE 207] Step: 19,202 | Reward: -181.76 | Avg-100: -291.05
[EPISODE 208] Step: 19,209 | Reward: -39.28 | Avg-100: -290.71
[EPISODE 209] Step: 19,243 | Reward: -120.37 | Avg-100: -291.61
[EPISODE 210] Step: 19,296 | Reward: -181.11 | Avg-100: -290.80
[EPISODE 211] Step: 19,313 | Reward: -61.90 | Avg-100: -290.32
[EPISODE 212] Step: 19,350 | Reward: -131.26 | Avg-100: -290.51
[EPISODE 213] Step: 19,364 | Reward: -61.11 | Avg-100: -289.48
[EPISODE 214] Step: 19,385 | Reward: -47.95 | Avg-100: -288.13
[EPISODE 215] Step: 19,403 | Reward: -74.82 | Avg-100: -287.86
[EPISODE 216] Step: 19,441 | Reward: -81.66 | Avg-100: -287.94
[EPISODE 217] Step: 19,477 | Reward: -143.14 | Avg-100: -288.63
[EPISODE 218] Step: 19,518 | Reward: -188.91 | Avg-100: -289.19
[EPISODE 219] Step: 19,558 | Reward: -155.15 | Avg-100: -289.06
[EPISODE 220] Step: 19,582 | Reward: -87.05 | Avg-100: -288.86
[EPISODE 221] Step: 19,610 | Reward: -103.27 | Avg-100: -289.66
[EPISODE 222] Step: 19,662 | Reward: -243.92 | Avg-100: -290.05
[EPISODE 223] Step: 19,722 | Reward: -238.87 | Avg-100: -291.93
[EPISODE 224] Step: 19,747 | Reward: -115.67 | Avg-100: -289.27
[EPISODE 225] Step: 19,806 | Reward: -233.75 | Avg-100: -290.00
[EPISODE 226] Step: 19,835 | Reward: -97.43 | Avg-100: -289.93
[EPISODE 227] Step: 19,848 | Reward: -56.74 | Avg-100: -289.79
[EPISODE 228] Step: 19,897 | Reward: -152.09 | Avg-100: -290.31
[EPISODE 229] Step: 19,942 | Reward: -182.89 | Avg-100: -291.26
[EPISODE 230] Step: 19,969 | Reward: -92.64 | Avg-100: -290.03
[EPISODE 231] Step: 20,038 | Reward: -230.67 | Avg-100: -292.00
[EPISODE 232] Step: 20,060 | Reward: -103.10 | Avg-100: -292.35
[EPISODE 233] Step: 20,115 | Reward: -199.66 | Avg-100: -261.32
[EPISODE 234] Step: 20,162 | Reward: -229.60 | Avg-100: -262.88
[EPISODE 235] Step: 20,189 | Reward: -87.93 | Avg-100: -261.41
