[INFO] Creating 24 parallel environments...
[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Max Action Value: 1.0
[INFO] Total Timesteps: 8,000,000
[INFO] Parallel Envs: 24
[INFO] Expected Speedup: 24x (from 8 hours to ~1 hour!)
[INFO] Energy Penalties: action=0.05, jerk=0.2

============================================================
[START] PARALLEL TRAINING STARTED
============================================================

[EPISODE 363] Step: 70,584 | Reward: -430.46 | Avg-100: -109.52
[EPISODE 364] Step: 71,064 | Reward: -499.83 | Avg-100: -112.89
[EPISODE 365] Step: 71,064 | Reward: -0.54 | Avg-100: -111.91
[EPISODE 366] Step: 71,184 | Reward: -56.06 | Avg-100: -112.52
[EPISODE 367] Step: 71,232 | Reward: -540.36 | Avg-100: -117.66
[EPISODE 368] Step: 71,352 | Reward: -70.36 | Avg-100: -118.26
[EPISODE 369] Step: 71,544 | Reward: -84.67 | Avg-100: -118.92
[EPISODE 370] Step: 71,832 | Reward: -8.56 | Avg-100: -118.51
[EPISODE 371] Step: 71,904 | Reward: -26.28 | Avg-100: -118.61
[EPISODE 372] Step: 72,432 | Reward: -45.42 | Avg-100: -118.68
[EPISODE 373] Step: 72,480 | Reward: -495.78 | Avg-100: -123.35
[EPISODE 374] Step: 72,552 | Reward: -41.44 | Avg-100: -122.92
[EPISODE 375] Step: 72,576 | Reward: -73.47 | Avg-100: -123.30
[EPISODE 376] Step: 72,696 | Reward: -20.00 | Avg-100: -123.27
[EPISODE 377] Step: 72,816 | Reward: -6.33 | Avg-100: -122.95
[EPISODE 378] Step: 72,840 | Reward: -170.72 | Avg-100: -124.26
[EPISODE 379] Step: 73,464 | Reward: -40.33 | Avg-100: -124.31
[EPISODE 380] Step: 73,608 | Reward: -28.87 | Avg-100: -124.48
[EPISODE 381] Step: 73,728 | Reward: -31.66 | Avg-100: -123.82
[EPISODE 382] Step: 73,824 | Reward: -15.70 | Avg-100: -122.98
[EPISODE 383] Step: 74,160 | Reward: -34.48 | Avg-100: -121.97
[EPISODE 384] Step: 74,352 | Reward: -26.30 | Avg-100: -121.31
[EPISODE 385] Step: 74,424 | Reward: 3.07 | Avg-100: -120.35
[EPISODE 386] Step: 74,688 | Reward: -69.32 | Avg-100: -120.21
[EPISODE 387] Step: 74,760 | Reward: -53.57 | Avg-100: -120.49
[EPISODE 388] Step: 74,856 | Reward: -38.90 | Avg-100: -120.55
[EPISODE 389] Step: 75,000 | Reward: -2.52 | Avg-100: -119.34
[EPISODE 390] Step: 75,240 | Reward: -21.89 | Avg-100: -119.39
[EPISODE 391] Step: 75,336 | Reward: -101.42 | Avg-100: -119.98
[EPISODE 392] Step: 75,552 | Reward: -85.51 | Avg-100: -120.78
[EPISODE 393] Step: 76,272 | Reward: 7.87 | Avg-100: -115.79
[EPISODE 394] Step: 76,680 | Reward: -522.34 | Avg-100: -121.06
[EPISODE 395] Step: 76,848 | Reward: -53.07 | Avg-100: -117.52
[EPISODE 396] Step: 76,992 | Reward: -538.82 | Avg-100: -118.51
[EPISODE 397] Step: 77,400 | Reward: -55.55 | Avg-100: -118.72
[EPISODE 398] Step: 77,712 | Reward: 6.19 | Avg-100: -118.63
[EPISODE 399] Step: 77,832 | Reward: -54.69 | Avg-100: -117.43
[EPISODE 400] Step: 78,552 | Reward: -40.67 | Avg-100: -118.05
[EPISODE 401] Step: 78,888 | Reward: -130.46 | Avg-100: -118.84
[EPISODE 402] Step: 79,128 | Reward: -91.45 | Avg-100: -119.51
[EPISODE 403] Step: 79,224 | Reward: -25.33 | Avg-100: -119.70
[EPISODE 404] Step: 79,320 | Reward: -63.54 | Avg-100: -119.96
[EPISODE 405] Step: 79,320 | Reward: -78.71 | Avg-100: -116.03
[EPISODE 406] Step: 79,464 | Reward: -88.21 | Avg-100: -112.04
[EPISODE 407] Step: 79,512 | Reward: 1.70 | Avg-100: -111.74
[EPISODE 408] Step: 79,848 | Reward: -20.05 | Avg-100: -111.20
[EPISODE 409] Step: 80,040 | Reward: 0.37 | Avg-100: -106.27
[EPISODE 410] Step: 80,136 | Reward: -24.04 | Avg-100: -102.27
[EPISODE 411] Step: 80,304 | Reward: -475.45 | Avg-100: -106.14
[EPISODE 412] Step: 80,352 | Reward: 0.25 | Avg-100: -105.95
[EPISODE 413] Step: 80,904 | Reward: -141.08 | Avg-100: -107.44
[EPISODE 414] Step: 80,904 | Reward: -126.95 | Avg-100: -107.42
[EPISODE 415] Step: 81,096 | Reward: -19.52 | Avg-100: -106.78
[EPISODE 416] Step: 81,504 | Reward: -113.43 | Avg-100: -107.23
[EPISODE 417] Step: 81,552 | Reward: -33.25 | Avg-100: -107.55
[EPISODE 418] Step: 82,032 | Reward: -546.41 | Avg-100: -111.55
[EPISODE 419] Step: 82,032 | Reward: -14.26 | Avg-100: -111.52
[EPISODE 420] Step: 82,056 | Reward: -78.97 | Avg-100: -107.33
[EPISODE 421] Step: 82,080 | Reward: -31.85 | Avg-100: -107.19
[EPISODE 422] Step: 82,152 | Reward: -36.02 | Avg-100: -106.20
[EPISODE 423] Step: 82,224 | Reward: -28.17 | Avg-100: -106.41
[EPISODE 424] Step: 82,464 | Reward: -79.77 | Avg-100: -101.85
[EPISODE 425] Step: 82,512 | Reward: -0.01 | Avg-100: -101.70
[EPISODE 426] Step: 82,656 | Reward: -50.34 | Avg-100: -101.87
[EPISODE 427] Step: 82,656 | Reward: -123.33 | Avg-100: -102.91
[EPISODE 428] Step: 83,040 | Reward: -18.80 | Avg-100: -98.91
[EPISODE 429] Step: 83,136 | Reward: -120.90 | Avg-100: -99.86
[EPISODE 430] Step: 83,808 | Reward: -11.64 | Avg-100: -99.67
[EPISODE 431] Step: 83,880 | Reward: -46.45 | Avg-100: -100.07
[EPISODE 432] Step: 83,880 | Reward: -31.33 | Avg-100: -100.34
[EPISODE 433] Step: 83,928 | Reward: -24.28 | Avg-100: -100.38
[EPISODE 434] Step: 84,000 | Reward: -96.64 | Avg-100: -101.01
[EPISODE 435] Step: 84,312 | Reward: -13.33 | Avg-100: -101.07
[EPISODE 436] Step: 84,360 | Reward: -15.07 | Avg-100: -95.96
[EPISODE 437] Step: 84,480 | Reward: -15.77 | Avg-100: -96.22
