[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Max Action Value: 1.0
[INFO] Total Timesteps: 7,000,000
[INFO] Energy Efficiency: ON (action_penalty=0.01, jerk_penalty=0.05)
[OK] Pre-trained model loaded.

============================================================
[START] ENERGY-EFFICIENT TRAINING STARTED
============================================================

[EPISODE 219] Step: 146,262 | Reward: 289.01 | Avg-100: 1360.90
[EPISODE 220] Step: 146,805 | Reward: 1083.97 | Avg-100: 1353.40
[EPISODE 221] Step: 147,667 | Reward: 2097.79 | Avg-100: 1352.59
[EPISODE 222] Step: 148,667 | Reward: 2543.08 | Avg-100: 1375.52
[EPISODE 223] Step: 149,179 | Reward: 1290.25 | Avg-100: 1385.54
[EPISODE 224] Step: 150,179 | Reward: 2138.70 | Avg-100: 1400.34
[EPISODE 225] Step: 150,290 | Reward: 185.55 | Avg-100: 1397.76
[EPISODE 226] Step: 150,845 | Reward: 1299.57 | Avg-100: 1384.46
[EPISODE 227] Step: 151,845 | Reward: 1695.25 | Avg-100: 1376.58
[EPISODE 228] Step: 152,845 | Reward: 2094.49 | Avg-100: 1392.19
[EPISODE 229] Step: 153,623 | Reward: 1642.34 | Avg-100: 1398.96
[EPISODE 230] Step: 154,623 | Reward: 2458.88 | Avg-100: 1418.97
[EPISODE 231] Step: 155,031 | Reward: 1017.41 | Avg-100: 1424.26
[EPISODE 232] Step: 155,042 | Reward: -14.23 | Avg-100: 1399.43
[EPISODE 233] Step: 155,226 | Reward: 340.30 | Avg-100: 1401.02
[EPISODE 234] Step: 156,226 | Reward: 2468.27 | Avg-100: 1400.80
[EPISODE 235] Step: 157,226 | Reward: 2332.87 | Avg-100: 1421.72
[EPISODE 236] Step: 158,090 | Reward: 2177.31 | Avg-100: 1435.89
[EPISODE 237] Step: 158,807 | Reward: 1600.80 | Avg-100: 1430.83
[EPISODE 238] Step: 159,807 | Reward: 2245.62 | Avg-100: 1427.86
[EPISODE 239] Step: 159,870 | Reward: 90.43 | Avg-100: 1407.30
[EPISODE 240] Step: 159,987 | Reward: 214.80 | Avg-100: 1395.53
[EPISODE 241] Step: 160,987 | Reward: 2395.28 | Avg-100: 1399.25
[EPISODE 242] Step: 161,983 | Reward: 2417.31 | Avg-100: 1398.16
[EPISODE 243] Step: 162,163 | Reward: 459.94 | Avg-100: 1401.66
[EPISODE 244] Step: 163,163 | Reward: 2516.49 | Avg-100: 1401.99
[EPISODE 245] Step: 163,196 | Reward: 39.85 | Avg-100: 1384.93
[EPISODE 246] Step: 163,520 | Reward: 750.92 | Avg-100: 1373.65
[EPISODE 247] Step: 163,686 | Reward: 399.79 | Avg-100: 1359.19
[EPISODE 248] Step: 163,800 | Reward: 200.98 | Avg-100: 1339.02
[EPISODE 249] Step: 164,800 | Reward: 2156.84 | Avg-100: 1356.00
[EPISODE 250] Step: 165,220 | Reward: 1147.82 | Avg-100: 1354.00
[EPISODE 251] Step: 166,220 | Reward: 2209.17 | Avg-100: 1351.52
[EPISODE 252] Step: 167,220 | Reward: 2313.89 | Avg-100: 1367.68
[EPISODE 253] Step: 168,220 | Reward: 2281.48 | Avg-100: 1385.77
[EPISODE 254] Step: 168,360 | Reward: 338.62 | Avg-100: 1388.38
[EPISODE 255] Step: 169,360 | Reward: 2463.81 | Avg-100: 1413.03
[EPISODE 256] Step: 170,360 | Reward: 2305.02 | Avg-100: 1410.45
[EPISODE 257] Step: 171,360 | Reward: 2381.44 | Avg-100: 1412.15
[EPISODE 258] Step: 171,627 | Reward: 531.63 | Avg-100: 1397.63
[EPISODE 259] Step: 171,685 | Reward: 101.23 | Avg-100: 1395.43
[EPISODE 260] Step: 172,685 | Reward: 2052.18 | Avg-100: 1409.85
[EPISODE 261] Step: 173,685 | Reward: 2378.86 | Avg-100: 1410.31
[EPISODE 262] Step: 173,899 | Reward: 609.73 | Avg-100: 1405.47
[EPISODE 263] Step: 173,966 | Reward: 36.06 | Avg-100: 1385.60
[EPISODE 264] Step: 174,311 | Reward: 887.40 | Avg-100: 1371.39
[EPISODE 265] Step: 174,605 | Reward: 536.05 | Avg-100: 1370.53
[EPISODE 266] Step: 175,605 | Reward: -610.00 | Avg-100: 1361.78
[EPISODE 267] Step: 176,078 | Reward: 1123.19 | Avg-100: 1369.70
[EPISODE 268] Step: 176,222 | Reward: 311.90 | Avg-100: 1350.61
[EPISODE 269] Step: 177,222 | Reward: 127.29 | Avg-100: 1329.30
[EPISODE 270] Step: 178,222 | Reward: 872.47 | Avg-100: 1325.60
[EPISODE 271] Step: 178,298 | Reward: 99.01 | Avg-100: 1305.99
[EPISODE 272] Step: 178,666 | Reward: 712.14 | Avg-100: 1292.03
[EPISODE 273] Step: 179,458 | Reward: 1984.75 | Avg-100: 1291.53
[EPISODE 274] Step: 180,172 | Reward: 1448.91 | Avg-100: 1293.42
[EPISODE 275] Step: 181,172 | Reward: 2232.20 | Avg-100: 1305.60
[EPISODE 276] Step: 182,172 | Reward: 2005.08 | Avg-100: 1322.34
[EPISODE 277] Step: 182,195 | Reward: 25.94 | Avg-100: 1314.64
[EPISODE 278] Step: 182,622 | Reward: 443.32 | Avg-100: 1317.45
[EPISODE 279] Step: 182,642 | Reward: 1.84 | Avg-100: 1316.52
[EPISODE 280] Step: 183,642 | Reward: 2348.74 | Avg-100: 1320.75
[EPISODE 281] Step: 184,420 | Reward: 1953.36 | Avg-100: 1317.35
[EPISODE 282] Step: 184,605 | Reward: 363.72 | Avg-100: 1298.18
[EPISODE 283] Step: 185,148 | Reward: 1364.77 | Avg-100: 1293.30
[EPISODE 284] Step: 186,148 | Reward: 2453.65 | Avg-100: 1314.31
[EPISODE 285] Step: 186,520 | Reward: 842.53 | Avg-100: 1324.86
[EPISODE 286] Step: 187,520 | Reward: 2412.24 | Avg-100: 1332.66
[EPISODE 287] Step: 188,520 | Reward: 202.29 | Avg-100: 1316.13
[EPISODE 288] Step: 188,905 | Reward: 881.23 | Avg-100: 1324.58
[EPISODE 289] Step: 189,905 | Reward: 802.26 | Avg-100: 1322.52
[EPISODE 290] Step: 190,905 | Reward: 2016.47 | Avg-100: 1322.11
[EPISODE 291] Step: 191,905 | Reward: 1954.36 | Avg-100: 1324.64
[EPISODE 292] Step: 192,564 | Reward: 1361.51 | Avg-100: 1327.77
[EPISODE 293] Step: 193,564 | Reward: 2293.48 | Avg-100: 1328.08
[EPISODE 294] Step: 194,564 | Reward: 2266.04 | Avg-100: 1328.99
[EPISODE 295] Step: 194,605 | Reward: 61.22 | Avg-100: 1307.35
[EPISODE 296] Step: 194,782 | Reward: 472.19 | Avg-100: 1286.83
[EPISODE 297] Step: 194,880 | Reward: 163.06 | Avg-100: 1273.55
[EPISODE 298] Step: 195,165 | Reward: 607.77 | Avg-100: 1278.04
[EPISODE 299] Step: 195,372 | Reward: 425.95 | Avg-100: 1271.21
[EPISODE 300] Step: 196,372 | Reward: 2664.82 | Avg-100: 1291.52
[EPISODE 301] Step: 197,372 | Reward: 2545.88 | Avg-100: 1301.06
[EPISODE 302] Step: 198,372 | Reward: 2311.13 | Avg-100: 1301.36
[EPISODE 303] Step: 198,597 | Reward: 515.35 | Avg-100: 1306.06
[EPISODE 304] Step: 198,723 | Reward: 332.74 | Avg-100: 1286.57
[EPISODE 305] Step: 199,387 | Reward: 1684.78 | Avg-100: 1279.02
[EPISODE 306] Step: 200,387 | Reward: 2378.41 | Avg-100: 1299.02
[EPISODE 307] Step: 201,387 | Reward: 2510.44 | Avg-100: 1307.83
[EPISODE 308] Step: 202,387 | Reward: 2279.74 | Avg-100: 1323.36
[EPISODE 309] Step: 203,387 | Reward: 2460.77 | Avg-100: 1340.52
[EPISODE 310] Step: 203,790 | Reward: 1001.85 | Avg-100: 1337.28
[EPISODE 311] Step: 204,043 | Reward: 516.93 | Avg-100: 1318.09
[EPISODE 312] Step: 204,214 | Reward: 327.71 | Avg-100: 1305.13
[EPISODE 313] Step: 204,797 | Reward: 1370.05 | Avg-100: 1318.70
[EPISODE 314] Step: 204,819 | Reward: 7.09 | Avg-100: 1305.81
[EPISODE 315] Step: 205,819 | Reward: 2446.88 | Avg-100: 1307.41
[EPISODE 316] Step: 205,961 | Reward: 282.55 | Avg-100: 1299.69
[EPISODE 317] Step: 206,961 | Reward: 2418.87 | Avg-100: 1314.71
[EPISODE 318] Step: 207,961 | Reward: 2159.69 | Avg-100: 1314.45
[EPISODE 319] Step: 208,961 | Reward: 2277.03 | Avg-100: 1334.33
[EPISODE 320] Step: 209,510 | Reward: 1299.57 | Avg-100: 1336.48
[EPISODE 321] Step: 210,510 | Reward: 2193.93 | Avg-100: 1337.45
[EPISODE 322] Step: 211,062 | Reward: 1307.52 | Avg-100: 1325.09
[EPISODE 323] Step: 212,062 | Reward: 2541.92 | Avg-100: 1337.61
[EPISODE 324] Step: 213,062 | Reward: 2427.61 | Avg-100: 1340.50
