[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Max Action Value: 1.0
[INFO] Total Timesteps: 15,000,000
[WARNING] AGGRESSIVE LEARNING MODE!

============================================================
[START] AGGRESSIVE LEARNING STARTED
============================================================

[EPISODE 146] Step: 12,499 | Reward: -48.74 | Avg-100: -284.02
[EPISODE 147] Step: 12,670 | Reward: -660.02 | Avg-100: -290.28
[EPISODE 148] Step: 12,720 | Reward: -120.35 | Avg-100: -290.63
[EPISODE 149] Step: 12,757 | Reward: -130.95 | Avg-100: -289.41
[EPISODE 150] Step: 12,803 | Reward: -140.50 | Avg-100: -288.08
[EPISODE 151] Step: 12,824 | Reward: -69.19 | Avg-100: -287.17
[EPISODE 152] Step: 12,834 | Reward: -44.70 | Avg-100: -286.55
[EPISODE 153] Step: 12,880 | Reward: -153.45 | Avg-100: -287.39
[EPISODE 154] Step: 12,955 | Reward: -303.71 | Avg-100: -288.88
[EPISODE 155] Step: 13,025 | Reward: -223.09 | Avg-100: -290.11
[EPISODE 156] Step: 13,060 | Reward: -135.16 | Avg-100: -290.86
[EPISODE 157] Step: 13,097 | Reward: -125.85 | Avg-100: -291.49
[EPISODE 158] Step: 13,136 | Reward: -163.31 | Avg-100: -264.63
[EPISODE 159] Step: 13,186 | Reward: -155.48 | Avg-100: -265.30
[EPISODE 160] Step: 13,239 | Reward: -203.63 | Avg-100: -266.13
[EPISODE 161] Step: 13,269 | Reward: -92.97 | Avg-100: -266.10
[EPISODE 162] Step: 13,314 | Reward: -159.94 | Avg-100: -267.27
[EPISODE 163] Step: 13,328 | Reward: -53.17 | Avg-100: -237.79
[EPISODE 164] Step: 13,343 | Reward: -37.40 | Avg-100: -236.14
[EPISODE 165] Step: 13,365 | Reward: -63.58 | Avg-100: -236.15
[EPISODE 166] Step: 13,428 | Reward: -193.30 | Avg-100: -237.17
[EPISODE 167] Step: 13,471 | Reward: -135.37 | Avg-100: -237.49
[EPISODE 168] Step: 13,528 | Reward: -202.38 | Avg-100: -237.04
[EPISODE 169] Step: 13,552 | Reward: -85.10 | Avg-100: -233.02
[EPISODE 170] Step: 13,587 | Reward: -104.60 | Avg-100: -232.00
[EPISODE 171] Step: 13,635 | Reward: -158.59 | Avg-100: -232.50
[EPISODE 172] Step: 13,661 | Reward: -77.87 | Avg-100: -232.46
[EPISODE 173] Step: 13,692 | Reward: -78.58 | Avg-100: -232.65
[EPISODE 174] Step: 13,717 | Reward: -82.03 | Avg-100: -231.39
[EPISODE 175] Step: 13,749 | Reward: -127.10 | Avg-100: -232.10
[EPISODE 176] Step: 13,789 | Reward: -176.13 | Avg-100: -232.81
[EPISODE 177] Step: 13,856 | Reward: -244.75 | Avg-100: -233.63
[EPISODE 178] Step: 13,899 | Reward: -163.47 | Avg-100: -234.69
[EPISODE 179] Step: 13,965 | Reward: -220.75 | Avg-100: -236.08
[EPISODE 180] Step: 14,021 | Reward: -133.67 | Avg-100: -234.18
[EPISODE 181] Step: 14,066 | Reward: -225.21 | Avg-100: -236.11
[EPISODE 182] Step: 14,099 | Reward: -138.90 | Avg-100: -236.00
[EPISODE 183] Step: 14,199 | Reward: -313.93 | Avg-100: -238.22
[EPISODE 184] Step: 14,211 | Reward: -34.36 | Avg-100: -238.06
[EPISODE 185] Step: 14,224 | Reward: -38.22 | Avg-100: -237.63
[EPISODE 186] Step: 14,255 | Reward: -128.58 | Avg-100: -237.00
[EPISODE 187] Step: 14,267 | Reward: -37.05 | Avg-100: -235.93
[EPISODE 188] Step: 14,279 | Reward: -37.17 | Avg-100: -233.17
[BEST MODEL] New record! Avg Reward: -233.17
[EPISODE 189] Step: 14,583 | Reward: -998.67 | Avg-100: -240.73
[EPISODE 190] Step: 14,638 | Reward: -268.93 | Avg-100: -242.93
[EPISODE 191] Step: 14,647 | Reward: -31.04 | Avg-100: -242.87
[EPISODE 192] Step: 14,708 | Reward: -165.75 | Avg-100: -240.87
[EPISODE 193] Step: 14,729 | Reward: -87.12 | Avg-100: -240.82
[EPISODE 194] Step: 14,771 | Reward: -143.51 | Avg-100: -241.57
[EPISODE 195] Step: 14,856 | Reward: -242.12 | Avg-100: -242.20
[EPISODE 196] Step: 15,004 | Reward: -648.12 | Avg-100: -248.07
[EPISODE 197] Step: 15,037 | Reward: -104.48 | Avg-100: -247.96
[EPISODE 198] Step: 15,058 | Reward: -78.03 | Avg-100: -216.55
[EPISODE 199] Step: 15,079 | Reward: -57.66 | Avg-100: -214.81
[EPISODE 200] Step: 15,193 | Reward: -446.67 | Avg-100: -217.01
[EPISODE 201] Step: 15,280 | Reward: -310.65 | Avg-100: -188.81
[EPISODE 202] Step: 15,297 | Reward: -36.47 | Avg-100: -188.33
[EPISODE 203] Step: 15,322 | Reward: -80.82 | Avg-100: -186.78
[EPISODE 204] Step: 15,350 | Reward: -141.99 | Avg-100: -187.73
[EPISODE 205] Step: 15,401 | Reward: -148.35 | Avg-100: -188.85
[EPISODE 206] Step: 15,447 | Reward: -142.77 | Avg-100: -189.51
[EPISODE 207] Step: 15,476 | Reward: -68.84 | Avg-100: -188.92
[EPISODE 208] Step: 15,507 | Reward: -113.03 | Avg-100: -189.34
[EPISODE 209] Step: 15,588 | Reward: -317.35 | Avg-100: -192.00
[EPISODE 210] Step: 15,604 | Reward: -65.51 | Avg-100: -189.08
[EPISODE 211] Step: 15,618 | Reward: -57.03 | Avg-100: -186.06
[EPISODE 212] Step: 15,650 | Reward: -91.32 | Avg-100: -185.61
[EPISODE 213] Step: 15,700 | Reward: -177.63 | Avg-100: -186.52
[EPISODE 214] Step: 15,726 | Reward: -66.02 | Avg-100: -186.72
[EPISODE 215] Step: 15,762 | Reward: -110.82 | Avg-100: -187.15
[EPISODE 216] Step: 15,784 | Reward: -81.98 | Avg-100: -187.20
[EPISODE 217] Step: 15,818 | Reward: -134.44 | Avg-100: -186.84
[EPISODE 218] Step: 15,831 | Reward: -62.10 | Avg-100: -185.89
[EPISODE 219] Step: 15,850 | Reward: -71.71 | Avg-100: -185.31
[EPISODE 220] Step: 15,864 | Reward: -28.13 | Avg-100: -184.94
[EPISODE 221] Step: 15,877 | Reward: -60.97 | Avg-100: -182.42
[EPISODE 222] Step: 15,908 | Reward: -77.03 | Avg-100: -182.47
[EPISODE 223] Step: 16,003 | Reward: -349.36 | Avg-100: -185.19
[EPISODE 224] Step: 16,037 | Reward: -90.26 | Avg-100: -185.35
[EPISODE 225] Step: 16,076 | Reward: -111.60 | Avg-100: -185.67
[EPISODE 226] Step: 16,097 | Reward: -86.79 | Avg-100: -152.03
[EPISODE 227] Step: 16,128 | Reward: -119.47 | Avg-100: -152.50
[EPISODE 228] Step: 16,182 | Reward: -221.14 | Avg-100: -152.92
[EPISODE 229] Step: 16,201 | Reward: -84.95 | Avg-100: -150.91
[EPISODE 230] Step: 16,231 | Reward: -99.19 | Avg-100: -151.44
[EPISODE 231] Step: 16,253 | Reward: -67.20 | Avg-100: -151.24
[EPISODE 232] Step: 16,283 | Reward: -134.66 | Avg-100: -151.66
[EPISODE 233] Step: 16,297 | Reward: -48.59 | Avg-100: -150.04
[EPISODE 234] Step: 16,317 | Reward: -67.05 | Avg-100: -150.11
[EPISODE 235] Step: 16,363 | Reward: -139.59 | Avg-100: -150.22
[BEST MODEL] New record! Avg Reward: -150.22
[EPISODE 236] Step: 16,472 | Reward: -360.89 | Avg-100: -152.12
[EPISODE 237] Step: 16,581 | Reward: -453.54 | Avg-100: -154.29
[EPISODE 238] Step: 16,644 | Reward: -167.37 | Avg-100: -155.30
[EPISODE 239] Step: 16,663 | Reward: -49.99 | Avg-100: -155.35
[EPISODE 240] Step: 16,708 | Reward: -148.97 | Avg-100: -154.95
[EPISODE 241] Step: 16,733 | Reward: -105.29 | Avg-100: -155.18
[EPISODE 242] Step: 16,770 | Reward: -143.76 | Avg-100: -156.04
[EPISODE 243] Step: 16,784 | Reward: -66.64 | Avg-100: -153.74
[EPISODE 244] Step: 16,797 | Reward: -42.11 | Avg-100: -152.48
[EPISODE 245] Step: 16,930 | Reward: -597.65 | Avg-100: -156.95
[EPISODE 246] Step: 16,953 | Reward: -85.71 | Avg-100: -157.32
[EPISODE 247] Step: 16,982 | Reward: -123.42 | Avg-100: -151.96
[EPISODE 248] Step: 17,018 | Reward: -116.93 | Avg-100: -151.92
[EPISODE 249] Step: 17,071 | Reward: -204.15 | Avg-100: -152.66
[EPISODE 250] Step: 17,092 | Reward: -80.66 | Avg-100: -152.06
[EPISODE 251] Step: 17,134 | Reward: -170.95 | Avg-100: -153.08
[EPISODE 252] Step: 17,174 | Reward: -140.69 | Avg-100: -154.04
[EPISODE 253] Step: 17,220 | Reward: -166.51 | Avg-100: -154.17
[EPISODE 254] Step: 17,238 | Reward: -61.42 | Avg-100: -151.74
[EPISODE 255] Step: 17,271 | Reward: -116.18 | Avg-100: -150.67
[EPISODE 256] Step: 17,295 | Reward: -71.71 | Avg-100: -150.04
[EPISODE 257] Step: 17,307 | Reward: -46.49 | Avg-100: -149.25
[EPISODE 258] Step: 17,361 | Reward: -152.60 | Avg-100: -149.14
[EPISODE 259] Step: 17,380 | Reward: -83.40 | Avg-100: -148.42
[EPISODE 260] Step: 17,438 | Reward: -173.74 | Avg-100: -148.12
[EPISODE 261] Step: 17,455 | Reward: -86.73 | Avg-100: -148.06
[EPISODE 262] Step: 17,498 | Reward: -185.62 | Avg-100: -148.31
[EPISODE 263] Step: 17,517 | Reward: -50.95 | Avg-100: -148.29
[EPISODE 264] Step: 17,537 | Reward: -53.87 | Avg-100: -148.46
[EPISODE 265] Step: 17,572 | Reward: -95.39 | Avg-100: -148.77
[EPISODE 266] Step: 17,650 | Reward: -299.10 | Avg-100: -149.83
[EPISODE 267] Step: 17,670 | Reward: -92.62 | Avg-100: -149.40
[EPISODE 268] Step: 17,707 | Reward: -110.79 | Avg-100: -148.49
[EPISODE 269] Step: 17,744 | Reward: -101.00 | Avg-100: -148.65
[EPISODE 270] Step: 17,864 | Reward: -451.31 | Avg-100: -152.11
[EPISODE 271] Step: 17,910 | Reward: -194.50 | Avg-100: -152.47
[EPISODE 272] Step: 17,945 | Reward: -145.75 | Avg-100: -153.15
[EPISODE 273] Step: 17,965 | Reward: -94.08 | Avg-100: -153.31
[EPISODE 274] Step: 17,986 | Reward: -71.63 | Avg-100: -153.20
[EPISODE 275] Step: 18,096 | Reward: -367.18 | Avg-100: -155.60
[EPISODE 276] Step: 18,165 | Reward: -231.54 | Avg-100: -156.16
[EPISODE 277] Step: 18,187 | Reward: -98.58 | Avg-100: -154.70
[EPISODE 278] Step: 18,244 | Reward: -208.68 | Avg-100: -155.15
[EPISODE 279] Step: 18,260 | Reward: -48.19 | Avg-100: -153.42
[EPISODE 280] Step: 19,260 | Reward: -3772.61 | Avg-100: -189.81
[EPISODE 281] Step: 19,287 | Reward: -114.13 | Avg-100: -188.70
[EPISODE 282] Step: 20,198 | Reward: -3636.08 | Avg-100: -223.67
[EPISODE 283] Step: 20,218 | Reward: -73.86 | Avg-100: -221.27
[EPISODE 284] Step: 20,240 | Reward: -77.69 | Avg-100: -221.71
[EPISODE 285] Step: 20,253 | Reward: -66.89 | Avg-100: -221.99
[EPISODE 286] Step: 20,276 | Reward: -63.01 | Avg-100: -221.34
[EPISODE 287] Step: 20,302 | Reward: -69.27 | Avg-100: -221.66
[EPISODE 288] Step: 20,339 | Reward: -114.39 | Avg-100: -222.43
[EPISODE 289] Step: 20,356 | Reward: -72.42 | Avg-100: -213.17
[EPISODE 290] Step: 21,356 | Reward: -4018.49 | Avg-100: -250.67
[EPISODE 291] Step: 21,366 | Reward: -35.19 | Avg-100: -250.71
